category,item,metric,value
stance_distribution,Socio-cultural Interpretation,frequency,0.6993865030674846
stance_distribution,Historical Research,frequency,0.08588957055214724
stance_distribution,Aesthetic Appreciation,frequency,0.07975460122699386
stance_distribution,Objective Description,frequency,0.05521472392638037
stance_distribution,Comparative Analysis,frequency,0.03067484662576687
stance_distribution,Mild Criticism,frequency,0.018404907975460124
stance_distribution,Critical Inquiry,frequency,0.012269938650306749
stance_distribution,Strong Negation,frequency,0.006134969325153374
stance_distribution,Theoretical Construction,frequency,0.006134969325153374
stance_distribution,High Praise,frequency,0.006134969325153374
core_features,Cross-cultural Influence,mention_frequency_in_comments_with_category_data,1.0
core_features,Cross-cultural Influence,overall_mention_count,163.0
core_features,Cross-cultural Influence,average_score,0.8736686797846863
core_features,Cross-cultural Influence,median_score,0.9614209532737732
core_features,Cross-cultural Influence,std_dev_score,0.20412436589289412
core_features,Cross-cultural Influence,min_score,0.009426400065422058
core_features,Cross-cultural Influence,max_score,0.9988837838172913
core_features,Emotional Expression,mention_frequency_in_comments_with_category_data,1.0
core_features,Emotional Expression,overall_mention_count,163.0
core_features,Emotional Expression,average_score,0.5978772119091155
core_features,Emotional Expression,median_score,0.6334585547447205
core_features,Emotional Expression,std_dev_score,0.2949902472901565
core_features,Emotional Expression,min_score,0.0008374821045435965
core_features,Emotional Expression,max_score,0.9985529780387878
core_features,Historical Context,mention_frequency_in_comments_with_category_data,1.0
core_features,Historical Context,overall_mention_count,163.0
core_features,Historical Context,average_score,0.6763271098460808
core_features,Historical Context,median_score,0.7726226449012756
core_features,Historical Context,std_dev_score,0.28981031618460745
core_features,Historical Context,min_score,0.0019091955618932843
core_features,Historical Context,max_score,0.9980206489562988
core_features,Technique Inheritance & Innovation,mention_frequency_in_comments_with_category_data,1.0
core_features,Technique Inheritance & Innovation,overall_mention_count,163.0
core_features,Technique Inheritance & Innovation,average_score,0.3791313189636427
core_features,Technique Inheritance & Innovation,median_score,0.3473187983036041
core_features,Technique Inheritance & Innovation,std_dev_score,0.26423375265034077
core_features,Technique Inheritance & Innovation,min_score,0.00040436701965518296
core_features,Technique Inheritance & Innovation,max_score,0.9827770590782166
core_features,Layout and Structure,mention_frequency_in_comments_with_category_data,1.0
core_features,Layout and Structure,overall_mention_count,163.0
core_features,Layout and Structure,average_score,0.6282323345297696
core_features,Layout and Structure,median_score,0.7226505875587463
core_features,Layout and Structure,std_dev_score,0.3147098204089208
core_features,Layout and Structure,min_score,0.000490608043037355
core_features,Layout and Structure,max_score,0.9967133402824402
core_features,Symbolism,mention_frequency_in_comments_with_category_data,1.0
core_features,Symbolism,overall_mention_count,163.0
core_features,Symbolism,average_score,0.6615289111944498
core_features,Symbolism,median_score,0.7387839555740356
core_features,Symbolism,std_dev_score,0.28373537427678547
core_features,Symbolism,min_score,0.0009665908291935921
core_features,Symbolism,max_score,0.9981743097305298
core_features,Artistic Conception,mention_frequency_in_comments_with_category_data,1.0
core_features,Artistic Conception,overall_mention_count,163.0
core_features,Artistic Conception,average_score,0.531144941341349
core_features,Artistic Conception,median_score,0.5855001211166382
core_features,Artistic Conception,std_dev_score,0.2813635860708642
core_features,Artistic Conception,min_score,0.0020260573364794254
core_features,Artistic Conception,max_score,0.9957748055458069
core_features,Brushwork Technique,mention_frequency_in_comments_with_category_data,1.0
core_features,Brushwork Technique,overall_mention_count,163.0
core_features,Brushwork Technique,average_score,0.19907490394158187
core_features,Brushwork Technique,median_score,0.16161896288394928
core_features,Brushwork Technique,std_dev_score,0.17833674516415893
core_features,Brushwork Technique,min_score,0.0003511825925670564
core_features,Brushwork Technique,max_score,0.9422304034233093
core_features,Genre,mention_frequency_in_comments_with_category_data,1.0
core_features,Genre,overall_mention_count,163.0
core_features,Genre,average_score,0.6009577480373344
core_features,Genre,median_score,0.6505717635154724
core_features,Genre,std_dev_score,0.27566847093472513
core_features,Genre,min_score,0.0008115399396046996
core_features,Genre,max_score,0.9990411996841431
core_features,Artist Biography,mention_frequency_in_comments_with_category_data,1.0
core_features,Artist Biography,overall_mention_count,163.0
core_features,Artist Biography,average_score,0.3502461202706902
core_features,Artist Biography,median_score,0.26818031072616577
core_features,Artist Biography,std_dev_score,0.2793560826186982
