category,item,metric,value
stance_distribution,Socio-cultural Interpretation,frequency,0.48182883939038684
stance_distribution,High Praise,frequency,0.16295427901524032
stance_distribution,Objective Description,frequency,0.1336459554513482
stance_distribution,Aesthetic Appreciation,frequency,0.09495896834701055
stance_distribution,Mild Criticism,frequency,0.07502930832356389
stance_distribution,Comparative Analysis,frequency,0.01992966002344666
stance_distribution,Historical Research,frequency,0.016412661195779603
stance_distribution,Critical Inquiry,frequency,0.007033997655334115
stance_distribution,Theoretical Construction,frequency,0.0035169988276670576
stance_distribution,stance_label_en,frequency,0.0035169988276670576
stance_distribution,Strong Negation,frequency,0.0011723329425556857
source_type_distribution,mllm,frequency,0.8089097303634232
source_type_distribution,human,frequency,0.1910902696365768
persona_id_distribution,human_expert,frequency,0.1910902696365768
persona_id_distribution,August,frequency,0.07502930832356389
persona_id_distribution,April,frequency,0.0738569753810082
persona_id_distribution,December,frequency,0.0738569753810082
persona_id_distribution,February,frequency,0.0738569753810082
persona_id_distribution,January,frequency,0.06565064478311841
persona_id_distribution,July,frequency,0.06330597889800703
persona_id_distribution,June,frequency,0.06330597889800703
persona_id_distribution,March,frequency,0.06330597889800703
persona_id_distribution,May,frequency,0.06330597889800703
persona_id_distribution,November,frequency,0.06330597889800703
persona_id_distribution,october,frequency,0.06330597889800703
persona_id_distribution,September,frequency,0.06330597889800703
persona_id_distribution,gemini_baseline,frequency,0.0035169988276670576
stance_distribution_by_persona,April_Aesthetic Appreciation,frequency,0.14285714285714285
stance_distribution_by_persona,April_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,April_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,April_High Praise,frequency,0.2698412698412698
stance_distribution_by_persona,April_Historical Research,frequency,0.0
stance_distribution_by_persona,April_Mild Criticism,frequency,0.0
stance_distribution_by_persona,April_Objective Description,frequency,0.2222222222222222
stance_distribution_by_persona,April_Socio-cultural Interpretation,frequency,0.36507936507936506
stance_distribution_by_persona,April_Strong Negation,frequency,0.0
stance_distribution_by_persona,April_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,April_stance_label_en,frequency,0.0
stance_distribution_by_persona,August_Aesthetic Appreciation,frequency,0.078125
stance_distribution_by_persona,August_Comparative Analysis,frequency,0.03125
stance_distribution_by_persona,August_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,August_High Praise,frequency,0.15625
stance_distribution_by_persona,August_Historical Research,frequency,0.0
stance_distribution_by_persona,August_Mild Criticism,frequency,0.0625
stance_distribution_by_persona,August_Objective Description,frequency,0.28125
stance_distribution_by_persona,August_Socio-cultural Interpretation,frequency,0.390625
stance_distribution_by_persona,August_Strong Negation,frequency,0.0
stance_distribution_by_persona,August_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,August_stance_label_en,frequency,0.0
stance_distribution_by_persona,December_Aesthetic Appreciation,frequency,0.047619047619047616
stance_distribution_by_persona,December_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,December_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,December_High Praise,frequency,0.3492063492063492
stance_distribution_by_persona,December_Historical Research,frequency,0.0
stance_distribution_by_persona,December_Mild Criticism,frequency,0.15873015873015872
stance_distribution_by_persona,December_Objective Description,frequency,0.1111111111111111
stance_distribution_by_persona,December_Socio-cultural Interpretation,frequency,0.3333333333333333
stance_distribution_by_persona,December_Strong Negation,frequency,0.0
stance_distribution_by_persona,December_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,December_stance_label_en,frequency,0.0
stance_distribution_by_persona,February_Aesthetic Appreciation,frequency,0.19047619047619047
stance_distribution_by_persona,February_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,February_Critical Inquiry,frequency,0.031746031746031744
stance_distribution_by_persona,February_High Praise,frequency,0.2222222222222222
stance_distribution_by_persona,February_Historical Research,frequency,0.0
stance_distribution_by_persona,February_Mild Criticism,frequency,0.047619047619047616
stance_distribution_by_persona,February_Objective Description,frequency,0.031746031746031744
stance_distribution_by_persona,February_Socio-cultural Interpretation,frequency,0.47619047619047616
stance_distribution_by_persona,February_Strong Negation,frequency,0.0
stance_distribution_by_persona,February_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,February_stance_label_en,frequency,0.0
stance_distribution_by_persona,January_Aesthetic Appreciation,frequency,0.125
stance_distribution_by_persona,January_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,January_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,January_High Praise,frequency,0.16071428571428573
stance_distribution_by_persona,January_Historical Research,frequency,0.0
stance_distribution_by_persona,January_Mild Criticism,frequency,0.10714285714285714
stance_distribution_by_persona,January_Objective Description,frequency,0.10714285714285714
stance_distribution_by_persona,January_Socio-cultural Interpretation,frequency,0.5
stance_distribution_by_persona,January_Strong Negation,frequency,0.0
stance_distribution_by_persona,January_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,January_stance_label_en,frequency,0.0
stance_distribution_by_persona,July_Aesthetic Appreciation,frequency,0.037037037037037035
stance_distribution_by_persona,July_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,July_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,July_High Praise,frequency,0.25925925925925924
stance_distribution_by_persona,July_Historical Research,frequency,0.0
stance_distribution_by_persona,July_Mild Criticism,frequency,0.14814814814814814
stance_distribution_by_persona,July_Objective Description,frequency,0.14814814814814814
stance_distribution_by_persona,July_Socio-cultural Interpretation,frequency,0.4074074074074074
stance_distribution_by_persona,July_Strong Negation,frequency,0.0
stance_distribution_by_persona,July_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,July_stance_label_en,frequency,0.0
stance_distribution_by_persona,June_Aesthetic Appreciation,frequency,0.0
stance_distribution_by_persona,June_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,June_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,June_High Praise,frequency,0.18518518518518517
stance_distribution_by_persona,June_Historical Research,frequency,0.0
stance_distribution_by_persona,June_Mild Criticism,frequency,0.07407407407407407
stance_distribution_by_persona,June_Objective Description,frequency,0.2962962962962963
stance_distribution_by_persona,June_Socio-cultural Interpretation,frequency,0.4074074074074074
stance_distribution_by_persona,June_Strong Negation,frequency,0.0
stance_distribution_by_persona,June_Theoretical Construction,frequency,0.037037037037037035
stance_distribution_by_persona,June_stance_label_en,frequency,0.0
stance_distribution_by_persona,March_Aesthetic Appreciation,frequency,0.14814814814814814
stance_distribution_by_persona,March_Comparative Analysis,frequency,0.037037037037037035
stance_distribution_by_persona,March_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,March_High Praise,frequency,0.18518518518518517
stance_distribution_by_persona,March_Historical Research,frequency,0.0
stance_distribution_by_persona,March_Mild Criticism,frequency,0.14814814814814814
stance_distribution_by_persona,March_Objective Description,frequency,0.25925925925925924
stance_distribution_by_persona,March_Socio-cultural Interpretation,frequency,0.2222222222222222
stance_distribution_by_persona,March_Strong Negation,frequency,0.0
stance_distribution_by_persona,March_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,March_stance_label_en,frequency,0.0
stance_distribution_by_persona,May_Aesthetic Appreciation,frequency,0.14814814814814814
stance_distribution_by_persona,May_Comparative Analysis,frequency,0.1111111111111111
stance_distribution_by_persona,May_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,May_High Praise,frequency,0.2222222222222222
stance_distribution_by_persona,May_Historical Research,frequency,0.0
stance_distribution_by_persona,May_Mild Criticism,frequency,0.037037037037037035
stance_distribution_by_persona,May_Objective Description,frequency,0.14814814814814814
stance_distribution_by_persona,May_Socio-cultural Interpretation,frequency,0.3333333333333333
stance_distribution_by_persona,May_Strong Negation,frequency,0.0
stance_distribution_by_persona,May_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,May_stance_label_en,frequency,0.0
stance_distribution_by_persona,November_Aesthetic Appreciation,frequency,0.07407407407407407
stance_distribution_by_persona,November_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,November_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,November_High Praise,frequency,0.18518518518518517
stance_distribution_by_persona,November_Historical Research,frequency,0.0
stance_distribution_by_persona,November_Mild Criticism,frequency,0.1111111111111111
stance_distribution_by_persona,November_Objective Description,frequency,0.1111111111111111
stance_distribution_by_persona,November_Socio-cultural Interpretation,frequency,0.5185185185185185
stance_distribution_by_persona,November_Strong Negation,frequency,0.0
stance_distribution_by_persona,November_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,November_stance_label_en,frequency,0.0
stance_distribution_by_persona,September_Aesthetic Appreciation,frequency,0.07407407407407407
stance_distribution_by_persona,September_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,September_Critical Inquiry,frequency,0.037037037037037035
stance_distribution_by_persona,September_High Praise,frequency,0.1111111111111111
stance_distribution_by_persona,September_Historical Research,frequency,0.0
stance_distribution_by_persona,September_Mild Criticism,frequency,0.1111111111111111
stance_distribution_by_persona,September_Objective Description,frequency,0.0
stance_distribution_by_persona,September_Socio-cultural Interpretation,frequency,0.6666666666666666
stance_distribution_by_persona,September_Strong Negation,frequency,0.0
stance_distribution_by_persona,September_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,September_stance_label_en,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Aesthetic Appreciation,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Comparative Analysis,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,gemini_baseline_High Praise,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Historical Research,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Mild Criticism,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Objective Description,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Socio-cultural Interpretation,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Strong Negation,frequency,0.0
stance_distribution_by_persona,gemini_baseline_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,gemini_baseline_stance_label_en,frequency,1.0
stance_distribution_by_persona,human_expert_Aesthetic Appreciation,frequency,0.07975460122699386
stance_distribution_by_persona,human_expert_Comparative Analysis,frequency,0.03067484662576687
stance_distribution_by_persona,human_expert_Critical Inquiry,frequency,0.012269938650306749
stance_distribution_by_persona,human_expert_High Praise,frequency,0.006134969325153374
stance_distribution_by_persona,human_expert_Historical Research,frequency,0.08588957055214724
stance_distribution_by_persona,human_expert_Mild Criticism,frequency,0.018404907975460124
stance_distribution_by_persona,human_expert_Objective Description,frequency,0.05521472392638037
stance_distribution_by_persona,human_expert_Socio-cultural Interpretation,frequency,0.6993865030674846
stance_distribution_by_persona,human_expert_Strong Negation,frequency,0.006134969325153374
stance_distribution_by_persona,human_expert_Theoretical Construction,frequency,0.006134969325153374
stance_distribution_by_persona,human_expert_stance_label_en,frequency,0.0
stance_distribution_by_persona,october_Aesthetic Appreciation,frequency,0.1111111111111111
stance_distribution_by_persona,october_Comparative Analysis,frequency,0.037037037037037035
stance_distribution_by_persona,october_Critical Inquiry,frequency,0.0
stance_distribution_by_persona,october_High Praise,frequency,0.07407407407407407
stance_distribution_by_persona,october_Historical Research,frequency,0.0
stance_distribution_by_persona,october_Mild Criticism,frequency,0.07407407407407407
stance_distribution_by_persona,october_Objective Description,frequency,0.1111111111111111
stance_distribution_by_persona,october_Socio-cultural Interpretation,frequency,0.5925925925925926
stance_distribution_by_persona,october_Strong Negation,frequency,0.0
stance_distribution_by_persona,october_Theoretical Construction,frequency,0.0
stance_distribution_by_persona,october_stance_label_en,frequency,0.0
