comparison_type,metric,human_mean,human_median,human_std,gemini_all_mean,gemini_all_median,gemini_all_std,test_used,statistic,p_value,effect_size,gemini_baseline_mean,gemini_baseline_median,gemini_baseline_std
Human vs Gemini (All),feature_Artist_Biography,0.3502461202706902,0.26818031072616577,0.2802169662699724,0.10722267754941381,0.08060994371771812,0.10544586740520127,Mann-Whitney U,7149.0,2.6525988623546644e-10,,,,
Human vs gemini_baseline,feature_Artist_Biography,0.3502461202706902,0.26818031072616577,0.2802169662699724,,,,Mann-Whitney U,7149.0,2.6525988623546644e-10,,0.10722267754941381,0.08060994371771812,0.10544586740520127
Human vs Gemini (All),feature_Artistic_Conception,0.531144941341349,0.5855001211166382,0.2822306561881199,0.42622046562610194,0.3952408879995346,0.3229573122401489,Mann-Whitney U,5509.0,0.020952582073733413,,,,
Human vs gemini_baseline,feature_Artistic_Conception,0.531144941341349,0.5855001211166382,0.2822306561881199,,,,Mann-Whitney U,5509.0,0.020952582073733413,,0.42622046562610194,0.3952408879995346,0.3229573122401489
Human vs Gemini (All),feature_Brushwork_Technique,0.19907490394158187,0.16161896288394928,0.17888632041197203,0.2775270831916714,0.059876587241888046,0.3804166344826858,Mann-Whitney U,5302.0,0.07141575499773814,,,,
Human vs gemini_baseline,feature_Brushwork_Technique,0.19907490394158187,0.16161896288394928,0.17888632041197203,,,,Mann-Whitney U,5302.0,0.07141575499773814,,0.2775270831916714,0.059876587241888046,0.3804166344826858
Human vs Gemini (All),feature_Cross-cultural_Influence,0.8736686797846863,0.9614209532737732,0.20475341011407813,0.7766331840040428,0.8616474568843842,0.2415365027370163,Mann-Whitney U,6297.0,2.2843970142286717e-05,,,,
Human vs gemini_baseline,feature_Cross-cultural_Influence,0.8736686797846863,0.9614209532737732,0.20475341011407813,,,,Mann-Whitney U,6297.0,2.2843970142286717e-05,,0.7766331840040428,0.8616474568843842,0.2415365027370163
Human vs Gemini (All),feature_Emotional_Expression,0.5978772119091155,0.6334585547447205,0.2958993102996204,0.4856127408399646,0.4851401448249817,0.34907759402659105,Mann-Whitney U,5364.0,0.0506558020708226,,,,
Human vs gemini_baseline,feature_Emotional_Expression,0.5978772119091155,0.6334585547447205,0.2958993102996204,,,,Mann-Whitney U,5364.0,0.0506558020708226,,0.4856127408399646,0.4851401448249817,0.34907759402659105
