file_id,text_preview,stance_label_en,stance_label_zh,stance_score,features,quality
薛永年_中国绘画断代史\1.1_雍乾时期宫廷绘画的兴盛.txt,"雍乾时期宫廷绘画的兴盛

雍正、乾隆时期，宫廷绘画得到极大发展，不仅绘画机构及制度进一步完善，而且画家日众，作品丰富，形成了具有时代特色的清代宫廷绘画风格。

雍正时，在内务府中设立了“画作”，专门容纳画家并组织他们进行绘画创作。乾隆时，宫廷绘画机构更加完善，先同时也制定了严密的制度，首先人宫时有考核；其次，被录用后则要进行试用；然后，正式录取的画家还要根据各自的艺术水平高低划分等级；最后，皇帝为...",Socio-cultural Interpretation,社会文化解读型,0.1869252771139145,"{'Cross-cultural Influence': {'score': 0.9882566332817078, 'zh': '跨文化影响'}, 'Genre': {'score': 0.9381841421127319, 'zh': '题材选择'}, 'Style/School': {'score': 0.8968283534049988, 'zh': '风格流派'}, 'Subject Matter': {'score': 0.8946623802185059, 'zh': '主题内容'}, 'Layout and Structure': {'score': 0.8892959356307983, 'zh': '布局与结构'}, 'Technique Inheritance & Innovation': {'score': 0.8784053325653076, 'zh': '技法传承与创新'}, 'Use of Color': {'score': 0.8630102276802063, 'zh': '色彩运用'}, 'Symbolism': {'score': 0.8568408489227295, 'zh': '象征意义'}, 'Artistic Conception': {'score': 0.8315351009368896, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.823928952217102, 'zh': '画家生平'}, 'Texture Strokes (Chunfa)': {'score': 0.8183861970901489, 'zh': '皴法特点'}, 'Historical Context': {'score': 0.7721570730209351, 'zh': '历史背景'}, 'Spatial Representation': {'score': 0.7401273250579834, 'zh': '空间营造'}, 'Line Quality': {'score': 0.73448246717453, 'zh': '线条质量'}, 'Emotional Expression': {'score': 0.7168475389480591, 'zh': '情感传递'}, 'Ink Application': {'score': 0.5878033638000488, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.533417284488678, 'zh': '笔法技巧'}}","{'Subjective/Biased View': {'score': 0.9592574834823608, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.7291737198829651, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.7271712422370911, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.6529357433319092, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.6434780359268188, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.6381499171257019, 'zh': '缺乏具体例证'}, 'Logical Gaps': {'score': 0.617535412311554, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.5996363759040833, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.5582466125488281, 'zh': '逻辑清晰严密'}, 'Objective Viewpoint': {'score': 0.5547229051589966, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.4590432941913605, 'zh': '内容较为宽泛'}}"
薛永年_中国绘画断代史\1.2_《视学》及线法画与外籍宫廷画家.txt,"《视学》及线法画与外籍宫廷画家

在清代的宫廷中，吸收了许多欧洲传教士为皇家服务。他们大多既精通宗教神学，又具有自然科学的知识，其中一些人还兼擅绘画，成为了供奉内廷的宫廷画家。这一宫廷绘画史上的特殊现象，反映了当时中西文化艺术交流的情况。这些传教士画家，除了奉诏作画、画法结合中西以外，还将西洋绘画的技法传授给一些在宫中任职的中国画家，致使这些画家的作品中表现出程度不同的西洋绘画的因素，特别是注重明...",Socio-cultural Interpretation,社会文化解读型,0.26930707693099976,"{'Cross-cultural Influence': {'score': 0.8931466937065125, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.6231403350830078, 'zh': '布局与结构'}, 'Line Quality': {'score': 0.5116398334503174, 'zh': '线条质量'}, 'Texture Strokes (Chunfa)': {'score': 0.41571635007858276, 'zh': '皴法特点'}, 'Symbolism': {'score': 0.39552220702171326, 'zh': '象征意义'}, 'Subject Matter': {'score': 0.38214829564094543, 'zh': '主题内容'}, 'Genre': {'score': 0.3743158280849457, 'zh': '题材选择'}, 'Emotional Expression': {'score': 0.33244046568870544, 'zh': '情感传递'}, 'Technique Inheritance & Innovation': {'score': 0.3231971263885498, 'zh': '技法传承与创新'}, 'Style/School': {'score': 0.290293425321579, 'zh': '风格流派'}, 'Historical Context': {'score': 0.2594752907752991, 'zh': '历史背景'}, 'Use of Color': {'score': 0.2081182301044464, 'zh': '色彩运用'}, 'Artistic Conception': {'score': 0.13755705952644348, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.10951466113328934, 'zh': '画家生平'}, 'Spatial Representation': {'score': 0.07353300601243973, 'zh': '空间营造'}, 'Brushwork Technique': {'score': 0.04937383159995079, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.03321671113371849, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.6854950785636902, 'zh': '观点主观片面'}, 'Objective Viewpoint': {'score': 0.34517478942871094, 'zh': '观点客观公允'}, 'Superficial Treatment': {'score': 0.3295936584472656, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.2627643048763275, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.21149930357933044, 'zh': '见解深刻独到'}, 'Lacks Examples': {'score': 0.1889059841632843, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.1775413155555725, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.1742914468050003, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.1579076051712036, 'zh': '逻辑存在跳跃'}, 'Clear Logic': {'score': 0.08008062839508057, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.01885388419032097, 'zh': '细节分析具体'}}"
薛永年_中国绘画断代史\1.3_重要的宫廷绘画作品.txt,"重要的宫廷绘画作品

雍乾时期的宫廷绘画主要是传统的中国画，亦有自西方传人的油画和铜版画，其题材内容包括三个方面的内容：一、描写人物肖像的作品：包括帝王御容、后妃肖像、功臣肖像等；二、记录宫廷重大事件与反映朝野生活的作品：如南巡、征讨、平叛、赐宴、庆功、狩猎、行乐、筵宴、婚庆、祝寿等内容，三、供装饰或纯粹观赏的作品：主要是山水画和花鸟画。此外，还有一些表现历史及宗教等题材的作品。其中重要的代表作品...",Objective Description,客观中性描述,0.3424586057662964,"{'Layout and Structure': {'score': 0.9960648417472839, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.9826487302780151, 'zh': '历史背景'}, 'Cross-cultural Influence': {'score': 0.974203884601593, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.8787786364555359, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.7457067370414734, 'zh': '皴法特点'}, 'Symbolism': {'score': 0.6482410430908203, 'zh': '象征意义'}, 'Use of Color': {'score': 0.4650535583496094, 'zh': '色彩运用'}, 'Genre': {'score': 0.4160701334476471, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.38619154691696167, 'zh': '意境表达'}, 'Spatial Representation': {'score': 0.3639049232006073, 'zh': '空间营造'}, 'Style/School': {'score': 0.2919492721557617, 'zh': '风格流派'}, 'Subject Matter': {'score': 0.21366122364997864, 'zh': '主题内容'}, 'Line Quality': {'score': 0.17345763742923737, 'zh': '线条质量'}, 'Technique Inheritance & Innovation': {'score': 0.10168636590242386, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.08514431864023209, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.08011053502559662, 'zh': '画家生平'}, 'Ink Application': {'score': 0.00410329969599843, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.6540840864181519, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.4580458402633667, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.2568471133708954, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.1887422502040863, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.1664026528596878, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.10876040905714035, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.0393497496843338, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.023786336183547974, 'zh': '逻辑清晰严密'}, 'Logical Gaps': {'score': 0.021005412563681602, 'zh': '逻辑存在跳跃'}, 'Overly General Content': {'score': 0.019203145056962967, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.0058367690071463585, 'zh': '缺乏具体例证'}}"
薛永年_中国绘画断代史\1.4_宫廷中的油画作品.txt,"宫廷中的油画作品

随着兼擅西方油画的传教士进入宫廷任职，宫廷中出现了由他们、以及受其传授的中国宫廷画家所创作的油画作品。诸如焦秉贞、冷枚、丁云鹏等著名宫廷画家以及王幼学、王儒学兄第、永泰、张为邦等都学习过油画技法，并创作过油画作品，现存故营博物院的绢质屏风油画《桐荫仕女图》，就被认为是康熙年间中国宫廷画家的作品。清代宫廷中的油画，大都用于装饰墙壁，几乎没有保存下来，现在所能见到的多为单幅作品。乾...",Socio-cultural Interpretation,社会文化解读型,0.3055172860622406,"{'Cross-cultural Influence': {'score': 0.9068667888641357, 'zh': '跨文化影响'}, 'Use of Color': {'score': 0.8788016438484192, 'zh': '色彩运用'}, 'Symbolism': {'score': 0.46358156204223633, 'zh': '象征意义'}, 'Emotional Expression': {'score': 0.44647783041000366, 'zh': '情感传递'}, 'Genre': {'score': 0.4280596673488617, 'zh': '题材选择'}, 'Line Quality': {'score': 0.3766561448574066, 'zh': '线条质量'}, 'Ink Application': {'score': 0.3736923635005951, 'zh': '墨法变化'}, 'Style/School': {'score': 0.3607126474380493, 'zh': '风格流派'}, 'Layout and Structure': {'score': 0.27367421984672546, 'zh': '布局与结构'}, 'Artistic Conception': {'score': 0.24417784810066223, 'zh': '意境表达'}, 'Historical Context': {'score': 0.2386092245578766, 'zh': '历史背景'}, 'Texture Strokes (Chunfa)': {'score': 0.19955120980739594, 'zh': '皴法特点'}, 'Technique Inheritance & Innovation': {'score': 0.13762138783931732, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.0828113853931427, 'zh': '画家生平'}, 'Subject Matter': {'score': 0.08163128048181534, 'zh': '主题内容'}, 'Brushwork Technique': {'score': 0.04684978350996971, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.0070757633075118065, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.3473895788192749, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.17672663927078247, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.16904249787330627, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.1585940718650818, 'zh': '观点客观公允'}, 'Logical Gaps': {'score': 0.11615166813135147, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.08090187609195709, 'zh': '见解深刻独到'}, 'Lacks Examples': {'score': 0.0770396739244461, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.05415749549865723, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.026843510568141937, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.020515354350209236, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.007116501219570637, 'zh': '内容较为宽泛'}}"
薛永年_中国绘画断代史\1.5_词臣画与宗室画.txt,"词臣画与宗室画

康、雍、乾三朝还有一些学养既富、地位亦显的大臣或宗族擅长绘事，他们的作品也同专职供奉的宫廷画家一一样，署“臣”字款。其中著名的词臣画家有王原祁、宋骏业、董邦达、蒋廷锡、高其佩、钱维城、邹一桂等，宗室画家有允禧、弘等，他们大多受“四王”正统山水画风或恽寿平“常州派”没骨花卉画风的影响，体现着当时一统画坛的主流风格。

宋骏业（？年一1713年），字声求，号坚甫，江苏吴县人，官至兵部...",Socio-cultural Interpretation,社会文化解读型,0.19076234102249146,"{'Cross-cultural Influence': {'score': 0.8836800456047058, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.7449960708618164, 'zh': '布局与结构'}, 'Genre': {'score': 0.5961267948150635, 'zh': '题材选择'}, 'Use of Color': {'score': 0.5770478844642639, 'zh': '色彩运用'}, 'Style/School': {'score': 0.5647596716880798, 'zh': '风格流派'}, 'Emotional Expression': {'score': 0.5424590706825256, 'zh': '情感传递'}, 'Symbolism': {'score': 0.5263220071792603, 'zh': '象征意义'}, 'Artist Biography': {'score': 0.44795358180999756, 'zh': '画家生平'}, 'Artistic Conception': {'score': 0.3720490634441376, 'zh': '意境表达'}, 'Brushwork Technique': {'score': 0.33257535099983215, 'zh': '笔法技巧'}, 'Line Quality': {'score': 0.3254517912864685, 'zh': '线条质量'}, 'Historical Context': {'score': 0.31786882877349854, 'zh': '历史背景'}, 'Texture Strokes (Chunfa)': {'score': 0.28190094232559204, 'zh': '皴法特点'}, 'Subject Matter': {'score': 0.2640955448150635, 'zh': '主题内容'}, 'Spatial Representation': {'score': 0.2608095705509186, 'zh': '空间营造'}, 'Technique Inheritance & Innovation': {'score': 0.19254820048809052, 'zh': '技法传承与创新'}, 'Ink Application': {'score': 0.14481574296951294, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.4663262963294983, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.3832521438598633, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.2772664427757263, 'zh': '论述流于表面'}, 'Overly General Content': {'score': 0.18769021332263947, 'zh': '内容较为宽泛'}, 'Profound Insight': {'score': 0.13021878898143768, 'zh': '见解深刻独到'}, 'Logical Gaps': {'score': 0.1214219182729721, 'zh': '逻辑存在跳跃'}, 'Strong Argumentation': {'score': 0.11898128688335419, 'zh': '论证充分有力'}, 'Lacks Examples': {'score': 0.10511168092489243, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.09134573489427567, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.08076708018779755, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.043695107102394104, 'zh': '逻辑清晰严密'}}"
薛永年_中国绘画断代史\2.1.1_清代的壁画.txt,"第一节 清代的壁画

清代的壁画与前代相比，在艺术水平上没有更多的超越，但其数量还是比较可观。清代壁画主要是地面建筑壁画，以寺观、宫殿壁画为主。题材广泛，诸如佛道宗教题材、神话传说、历史故事、现实生活、重大事件，以及小说、戏曲、说唱艺术等等内容均有表现，内容丰富多彩，其中最引人注目的是现实重大题材的描绘、民间小说与文学名著的表现。重要的壁画遗存分布在山西、山东、西藏、云南、北京等地。此外，根据文献...",Socio-cultural Interpretation,社会文化解读型,0.302215039730072,"{'Layout and Structure': {'score': 0.9967133402824402, 'zh': '布局与结构'}, 'Use of Color': {'score': 0.9907016754150391, 'zh': '色彩运用'}, 'Cross-cultural Influence': {'score': 0.9775416254997253, 'zh': '跨文化影响'}, 'Line Quality': {'score': 0.9696301221847534, 'zh': '线条质量'}, 'Historical Context': {'score': 0.9676672220230103, 'zh': '历史背景'}, 'Symbolism': {'score': 0.9640643000602722, 'zh': '象征意义'}, 'Emotional Expression': {'score': 0.9430508017539978, 'zh': '情感传递'}, 'Subject Matter': {'score': 0.8253732919692993, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.8230956792831421, 'zh': '意境表达'}, 'Genre': {'score': 0.7805129885673523, 'zh': '题材选择'}, 'Style/School': {'score': 0.7204380035400391, 'zh': '风格流派'}, 'Texture Strokes (Chunfa)': {'score': 0.6941050291061401, 'zh': '皴法特点'}, 'Technique Inheritance & Innovation': {'score': 0.6121919751167297, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.5905959606170654, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.34419143199920654, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.133067786693573, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.047837384045124054, 'zh': '空间营造'}}","{'Superficial Treatment': {'score': 0.8671823143959045, 'zh': '论述流于表面'}, 'Subjective/Biased View': {'score': 0.8449127078056335, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.5664240717887878, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.48087987303733826, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.19878935813903809, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.14772261679172516, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.07630545645952225, 'zh': '细节分析具体'}, 'Strong Argumentation': {'score': 0.07067932188510895, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.0684475526213646, 'zh': '逻辑存在跳跃'}, 'Lacks Examples': {'score': 0.04791037365794182, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.023345407098531723, 'zh': '内容较为宽泛'}}"
薛永年_中国绘画断代史\2.1.2_清代的版画.txt,"第二节 清代的版画

清代的版画承继明代版画而蓬勃发展，应用范围更加广泛，种类愈益繁多，内容十分丰富。民间版画中除戏曲小说插图、画谱、笺谱、墨谱和酒牌外，历史人物肖像、地理方志插图、宗教经文插图等也十分盛行；同时，不仅民间版刻中心汲及各地，而且清廷设立了皇家刻书房，在出版皇家图书的同时，也组织绘制刊刻了许多“殿版版画”。此外，除了传统的木刻版画在刻版、拱花等技术上得到发展外，西方的铜版画和石版画也...",Socio-cultural Interpretation,社会文化解读型,0.19369372725486755,"{'Layout and Structure': {'score': 0.9554940462112427, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.9112975597381592, 'zh': '情感传递'}, 'Cross-cultural Influence': {'score': 0.9046774506568909, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.7750193476676941, 'zh': '象征意义'}, 'Subject Matter': {'score': 0.7708730697631836, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.7053855657577515, 'zh': '意境表达'}, 'Technique Inheritance & Innovation': {'score': 0.6651775240898132, 'zh': '技法传承与创新'}, 'Genre': {'score': 0.6031410694122314, 'zh': '题材选择'}, 'Historical Context': {'score': 0.5364624857902527, 'zh': '历史背景'}, 'Style/School': {'score': 0.489301472902298, 'zh': '风格流派'}, 'Use of Color': {'score': 0.4567802846431732, 'zh': '色彩运用'}, 'Artist Biography': {'score': 0.44158226251602173, 'zh': '画家生平'}, 'Texture Strokes (Chunfa)': {'score': 0.3379780352115631, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.2947846055030823, 'zh': '线条质量'}, 'Brushwork Technique': {'score': 0.22332161664962769, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.19250841438770294, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.1849113255739212, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.6118969321250916, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.4688595235347748, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.43831780552864075, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.4018925130367279, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.37849971652030945, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.32741042971611023, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.21080681681632996, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.1693449467420578, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.16464535892009735, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.12918682396411896, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.06819920986890793, 'zh': '内容较为宽泛'}}"
薛永年_中国绘画断代史\2.1.3_清代的年画.txt,"第三节 清代的年画

明代后期，随着商业手工业的发展和雕版印刷的繁荣，彩色套印技术的进步，年画得到了空前发展，清代则是年画艺术最为繁荣昌盛的时期。上承明代后期已经出现印制木版年画的作坊，至清代前期全国相继形成了若干年画刻印和销售的中心。这些中心的生产能力强，销行范围广，地区特色鲜明，最著名者有天津杨柳青、苏州桃花坞、山东潍县、河北武强等处。其他的年画产地还有河南朱仙镇、陕西凤翔、四川绵竹、湖南邵阳...",Socio-cultural Interpretation,社会文化解读型,0.13386918604373932,"{'Cross-cultural Influence': {'score': 0.7255780100822449, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.6764476895332336, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.6692355275154114, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.6334585547447205, 'zh': '情感传递'}, 'Historical Context': {'score': 0.5857118368148804, 'zh': '历史背景'}, 'Line Quality': {'score': 0.5765581727027893, 'zh': '线条质量'}, 'Use of Color': {'score': 0.5755338072776794, 'zh': '色彩运用'}, 'Genre': {'score': 0.5676880478858948, 'zh': '题材选择'}, 'Technique Inheritance & Innovation': {'score': 0.564915120601654, 'zh': '技法传承与创新'}, 'Subject Matter': {'score': 0.5430618524551392, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.5274971127510071, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.5072736740112305, 'zh': '画家生平'}, 'Style/School': {'score': 0.500557005405426, 'zh': '风格流派'}, 'Ink Application': {'score': 0.500062108039856, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.46335867047309875, 'zh': '空间营造'}, 'Brushwork Technique': {'score': 0.369020015001297, 'zh': '笔法技巧'}, 'Texture Strokes (Chunfa)': {'score': 0.35929766297340393, 'zh': '皴法特点'}}","{'Subjective/Biased View': {'score': 0.5237865447998047, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.4787258505821228, 'zh': '论述流于表面'}, 'Detailed Analysis': {'score': 0.4774957597255707, 'zh': '细节分析具体'}, 'Classical Citations': {'score': 0.4756496548652649, 'zh': '引用经典佐证'}, 'Lacks Examples': {'score': 0.4390578269958496, 'zh': '缺乏具体例证'}, 'Logical Gaps': {'score': 0.4346751272678375, 'zh': '逻辑存在跳跃'}, 'Strong Argumentation': {'score': 0.42694154381752014, 'zh': '论证充分有力'}, 'Clear Logic': {'score': 0.405423104763031, 'zh': '逻辑清晰严密'}, 'Profound Insight': {'score': 0.37725892663002014, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.3708684742450714, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.25873813033103943, 'zh': '内容较为宽泛'}}"
薛永年_中国绘画断代史\2.1.4_清代的铜版画与石印画报.txt,"铜版画与《乾隆平定准部回部战图》

西方的铜版画作品在明万历年间已由传教士利马窦带入中国，而对西方铜版印刷技术的应用，最早则是在康熙年间。最初是运用这一技术制作地图，意大利传教士马国贤（1692年一1745年，原名MatteoRipa）主持制作的《皇舆全览图》，便是铜版印制的全国地图。

到了乾隆时期，清廷为了炫耀武功成就，绘制了一系列表现征战的历史重大事件的铜版画作品，这一新画种得以在宫廷中传播...",Socio-cultural Interpretation,社会文化解读型,0.22944971919059753,"{'Layout and Structure': {'score': 0.933583676815033, 'zh': '布局与结构'}, 'Cross-cultural Influence': {'score': 0.9327971339225769, 'zh': '跨文化影响'}, 'Ink Application': {'score': 0.8167939186096191, 'zh': '墨法变化'}, 'Historical Context': {'score': 0.7920453548431396, 'zh': '历史背景'}, 'Technique Inheritance & Innovation': {'score': 0.7804204225540161, 'zh': '技法传承与创新'}, 'Spatial Representation': {'score': 0.7313557267189026, 'zh': '空间营造'}, 'Symbolism': {'score': 0.6943666934967041, 'zh': '象征意义'}, 'Genre': {'score': 0.6857322454452515, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.6468292474746704, 'zh': '意境表达'}, 'Subject Matter': {'score': 0.539471447467804, 'zh': '主题内容'}, 'Use of Color': {'score': 0.530363142490387, 'zh': '色彩运用'}, 'Style/School': {'score': 0.5082855224609375, 'zh': '风格流派'}, 'Line Quality': {'score': 0.47089317440986633, 'zh': '线条质量'}, 'Emotional Expression': {'score': 0.44916513562202454, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.44147586822509766, 'zh': '皴法特点'}, 'Artist Biography': {'score': 0.17020371556282043, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.10199691355228424, 'zh': '笔法技巧'}}","{'Superficial Treatment': {'score': 0.45027485489845276, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.4318219721317291, 'zh': '引用经典佐证'}, 'Subjective/Biased View': {'score': 0.3894452154636383, 'zh': '观点主观片面'}, 'Strong Argumentation': {'score': 0.3744083642959595, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.3244277834892273, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.313213974237442, 'zh': '见解深刻独到'}, 'Lacks Examples': {'score': 0.2945344150066376, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.25196373462677, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.24624814093112946, 'zh': '细节分析具体'}, 'Overly General Content': {'score': 0.22197477519512177, 'zh': '内容较为宽泛'}, 'Clear Logic': {'score': 0.13215476274490356, 'zh': '逻辑清晰严密'}}"
薛永年_中国绘画断代史\2.1_清代的壁画，版画，年画与石印画报.txt,"概况

在清代绘画的发展中，居于主流地位的绘画，无疑是富于观赏性而非突出功能性的卷轴画，特别是文人正统画。至于壁画、版画、年画以及晚清才出现的石印画报，由于都是有较强的功能性，因而不管作者是文人还是画工，过去一直在人们的视野中处于边缘地位，缺乏足够的重视。尽管本世纪以来随着人们历史观念的改变，这些画种开始引起注意，但仍少深入细微的分期研究，故此本书在这一章中只能综合叙述。

清代的壁画总起来看是衰...",Historical Research,历史考证型,0.2978869378566742,"{'Cross-cultural Influence': {'score': 0.9721536636352539, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.9609349966049194, 'zh': '历史背景'}, 'Technique Inheritance & Innovation': {'score': 0.8602806925773621, 'zh': '技法传承与创新'}, 'Subject Matter': {'score': 0.841867983341217, 'zh': '主题内容'}, 'Layout and Structure': {'score': 0.8148044943809509, 'zh': '布局与结构'}, 'Genre': {'score': 0.7879791855812073, 'zh': '题材选择'}, 'Symbolism': {'score': 0.7475358247756958, 'zh': '象征意义'}, 'Ink Application': {'score': 0.7270894050598145, 'zh': '墨法变化'}, 'Emotional Expression': {'score': 0.5954041481018066, 'zh': '情感传递'}, 'Use of Color': {'score': 0.5473278164863586, 'zh': '色彩运用'}, 'Artistic Conception': {'score': 0.5154736042022705, 'zh': '意境表达'}, 'Style/School': {'score': 0.456071674823761, 'zh': '风格流派'}, 'Line Quality': {'score': 0.3180173635482788, 'zh': '线条质量'}, 'Texture Strokes (Chunfa)': {'score': 0.31316229701042175, 'zh': '皴法特点'}, 'Spatial Representation': {'score': 0.226930633187294, 'zh': '空间营造'}, 'Artist Biography': {'score': 0.18958263099193573, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.18702518939971924, 'zh': '笔法技巧'}}","{'Subjective/Biased View': {'score': 0.47677600383758545, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.3307099938392639, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.3181496262550354, 'zh': '论述流于表面'}, 'Strong Argumentation': {'score': 0.31387391686439514, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.30303218960762024, 'zh': '逻辑存在跳跃'}, 'Clear Logic': {'score': 0.2117968648672104, 'zh': '逻辑清晰严密'}, 'Lacks Examples': {'score': 0.1707524210214615, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.13565503060817719, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.12746798992156982, 'zh': '见解深刻独到'}, 'Overly General Content': {'score': 0.11474347114562988, 'zh': '内容较为宽泛'}, 'Detailed Analysis': {'score': 0.0715879574418068, 'zh': '细节分析具体'}}"
