file_id,text_preview,stance_label_en,stance_label_zh,stance_score,features,quality
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.1_石涛画像.txt,"石涛画像：

“就体形而言，他的身高一般，在1674年及1690年的画像中，他是一个稍蓄胡须的赢瘦男子...在我们关注的五十几岁到六十几岁这段期间，石涛总形容自己是个健壮的大胡子...”
“自画像显示石涛为僧期间身着白衣，有时戴着垂到肩上、遮住光头的黑色罩头...然而，他在迁至大涤堂后却明显改为道士装束（头上戴的或许是道冠）。”
“由于出生在西南偏远的广西省，并在中国中南方的湖北省度过童年，石涛可...",Socio-cultural Interpretation,社会文化解读型,0.6117416620254517,"{'Cross-cultural Influence': {'score': 0.9982503056526184, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.9935936331748962, 'zh': '情感传递'}, 'Historical Context': {'score': 0.981890082359314, 'zh': '历史背景'}, 'Technique Inheritance & Innovation': {'score': 0.9420883059501648, 'zh': '技法传承与创新'}, 'Layout and Structure': {'score': 0.9369456768035889, 'zh': '布局与结构'}, 'Symbolism': {'score': 0.9338131546974182, 'zh': '象征意义'}, 'Artistic Conception': {'score': 0.9297783970832825, 'zh': '意境表达'}, 'Brushwork Technique': {'score': 0.9048894047737122, 'zh': '笔法技巧'}, 'Genre': {'score': 0.8856490254402161, 'zh': '题材选择'}, 'Artist Biography': {'score': 0.8816022872924805, 'zh': '画家生平'}, 'Ink Application': {'score': 0.8602644205093384, 'zh': '墨法变化'}, 'Subject Matter': {'score': 0.8119474053382874, 'zh': '主题内容'}, 'Use of Color': {'score': 0.7238940596580505, 'zh': '色彩运用'}, 'Line Quality': {'score': 0.6465296149253845, 'zh': '线条质量'}, 'Style/School': {'score': 0.5192556381225586, 'zh': '风格流派'}, 'Texture Strokes (Chunfa)': {'score': 0.4482537508010864, 'zh': '皴法特点'}, 'Spatial Representation': {'score': 0.2705317735671997, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9815253019332886, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.9230895042419434, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.8914444446563721, 'zh': '逻辑存在跳跃'}, 'Classical Citations': {'score': 0.8196873664855957, 'zh': '引用经典佐证'}, 'Lacks Examples': {'score': 0.8165287971496582, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.719734787940979, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.7065331339836121, 'zh': '内容较为宽泛'}, 'Profound Insight': {'score': 0.7010774612426758, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.5780187249183655, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.34122800827026367, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.24561336636543274, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,"1700年左右的扬州：

“在1696年末或1697年初，石涛终于搬进城内...石涛住在运河边的西州路上...这幢小楼位于大东门（旧城东墙的北门）外拥挤的低级住宅区，挤在城墙和运河之间...这幢房子并不太大，只有三四个房间。”（大涤堂）
“扬州是个兼具商业和行政两种性质的城市...扬州城的位置是在长江北岸...联系中国南北方的交通动脉大运河也环绕其周围。”
“这个城市分为东、西两半部，在石涛当时分...",Historical Research,历史考证型,0.1630236804485321,"{'Layout and Structure': {'score': 0.8858596086502075, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.8212442398071289, 'zh': '历史背景'}, 'Cross-cultural Influence': {'score': 0.6180701851844788, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.2423500418663025, 'zh': '象征意义'}, 'Spatial Representation': {'score': 0.11955022811889648, 'zh': '空间营造'}, 'Emotional Expression': {'score': 0.06717739254236221, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.05815121904015541, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.0484677329659462, 'zh': '色彩运用'}, 'Line Quality': {'score': 0.03576454892754555, 'zh': '线条质量'}, 'Artistic Conception': {'score': 0.0253842044621706, 'zh': '意境表达'}, 'Subject Matter': {'score': 0.024238161742687225, 'zh': '主题内容'}, 'Genre': {'score': 0.02208681032061577, 'zh': '题材选择'}, 'Artist Biography': {'score': 0.017948659136891365, 'zh': '画家生平'}, 'Ink Application': {'score': 0.007761581335216761, 'zh': '墨法变化'}, 'Technique Inheritance & Innovation': {'score': 0.007149932440370321, 'zh': '技法传承与创新'}, 'Style/School': {'score': 0.005254217889159918, 'zh': '风格流派'}, 'Brushwork Technique': {'score': 0.00514572486281395, 'zh': '笔法技巧'}}","{'Classical Citations': {'score': 0.07983250170946121, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.05129842832684517, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.04322909191250801, 'zh': '见解深刻独到'}, 'Superficial Treatment': {'score': 0.031487837433815, 'zh': '论述流于表面'}, 'Subjective/Biased View': {'score': 0.029687847942113876, 'zh': '观点主观片面'}, 'Clear Logic': {'score': 0.026456423103809357, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.020104223862290382, 'zh': '细节分析具体'}, 'Logical Gaps': {'score': 0.011638887226581573, 'zh': '逻辑存在跳跃'}, 'Objective Viewpoint': {'score': 0.005755705293267965, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.0037761188577860594, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.0017299358732998371, 'zh': '缺乏具体例证'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.3_江南的绘画与现代性.txt,"江南的绘画与现代性：

早期现代阶段被定义为“一段夹在16世纪晚期、17世纪时愈益商业化、货币化、城市化，与19世纪晚期、20世纪时急速工业化浪潮之间的时期”。特征包括“远距交易总量的激增”、“区域专业化现象”、“急速的人口成长”、“制造关系和工作组织的重大变化”以及“白银作为主要货币”。
柯律格（Craig Clunas）强调“品味创造”在江南新兴商品经济中的重要性，认为“品味便起作用了...也...",Socio-cultural Interpretation,社会文化解读型,0.7542005777359009,"{'Cross-cultural Influence': {'score': 0.9979552030563354, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.9912575483322144, 'zh': '历史背景'}, 'Artistic Conception': {'score': 0.9837743043899536, 'zh': '意境表达'}, 'Genre': {'score': 0.982646107673645, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.9706509709358215, 'zh': '主题内容'}, 'Layout and Structure': {'score': 0.9689896702766418, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.926133394241333, 'zh': '情感传递'}, 'Style/School': {'score': 0.9249897599220276, 'zh': '风格流派'}, 'Symbolism': {'score': 0.9172763824462891, 'zh': '象征意义'}, 'Technique Inheritance & Innovation': {'score': 0.8028731942176819, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.7924577593803406, 'zh': '画家生平'}, 'Texture Strokes (Chunfa)': {'score': 0.7293691039085388, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.7066510319709778, 'zh': '线条质量'}, 'Use of Color': {'score': 0.6754550933837891, 'zh': '色彩运用'}, 'Ink Application': {'score': 0.6374141573905945, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.5062732696533203, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.4527128338813782, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9819852709770203, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.9282365441322327, 'zh': '逻辑存在跳跃'}, 'Lacks Examples': {'score': 0.9042875170707703, 'zh': '缺乏具体例证'}, 'Superficial Treatment': {'score': 0.8587927222251892, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.8414157032966614, 'zh': '引用经典佐证'}, 'Overly General Content': {'score': 0.8383342623710632, 'zh': '内容较为宽泛'}, 'Profound Insight': {'score': 0.7178727984428406, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.7141923904418945, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.5870797038078308, 'zh': '细节分析具体'}, 'Strong Argumentation': {'score': 0.538689136505127, 'zh': '论证充分有力'}, 'Clear Logic': {'score': 0.5063973069190979, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.4_现代性地理志.txt,"现代性地理志：

研究方法：“将‘主体性’的各种组成，以及他作品中的艺术价值，视为以视觉与文字论述（及反论述）交会而成的广大论述领域（discursive field）中的主题地标。”
主体性与价值的现代性特征：“石涛画作在不同方面都参与了现代西方社会所谓的公私交界的‘意见’（opinion）或社会论争的论述空间。”
自主性期望：“石涛的艺术以其实用主义，甚至（有时是）投机主义，为脱离国家、市场和...",Socio-cultural Interpretation,社会文化解读型,0.8802211284637451,"{'Cross-cultural Influence': {'score': 0.995903491973877, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.9755530953407288, 'zh': '布局与结构'}, 'Spatial Representation': {'score': 0.9711053371429443, 'zh': '空间营造'}, 'Subject Matter': {'score': 0.940409243106842, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.7600581645965576, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.6034053564071655, 'zh': '画家生平'}, 'Historical Context': {'score': 0.5563847422599792, 'zh': '历史背景'}, 'Genre': {'score': 0.48267069458961487, 'zh': '题材选择'}, 'Symbolism': {'score': 0.46309760212898254, 'zh': '象征意义'}, 'Texture Strokes (Chunfa)': {'score': 0.40335801243782043, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.39602822065353394, 'zh': '色彩运用'}, 'Style/School': {'score': 0.34490537643432617, 'zh': '风格流派'}, 'Technique Inheritance & Innovation': {'score': 0.16216465830802917, 'zh': '技法传承与创新'}, 'Emotional Expression': {'score': 0.16189827024936676, 'zh': '情感传递'}, 'Ink Application': {'score': 0.1504959613084793, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.12451471388339996, 'zh': '笔法技巧'}, 'Line Quality': {'score': 0.0815606638789177, 'zh': '线条质量'}}","{'Subjective/Biased View': {'score': 0.9948218464851379, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.7406962513923645, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.5007516145706177, 'zh': '论述流于表面'}, 'Detailed Analysis': {'score': 0.4406639635562897, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.16999433934688568, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.12838612496852875, 'zh': '论证充分有力'}, 'Overly General Content': {'score': 0.08922859281301498, 'zh': '内容较为宽泛'}, 'Classical Citations': {'score': 0.028615020215511322, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.020057542249560356, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.006470889318734407, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.00022247759625315666, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.1_画家的欲望.txt,"石涛梦境：“尝梦过一桥，遇洗菜女子，引入一大院观画，其奇变不可纪。又梦登雨花台，手掬六日吞之，而书画每因之变，若神授然。” “绘画与欲望间具有达致的共同关联重要。”
扬州消费社会与欲望：“张潮的关系链——搭配大醉、性爱欲望、物质主义、气的规范——勾勒出欲望在扬州消费社会的中心地位...袁启旭...申述...自制令本色埋没，而纵欲则使本色借缺点、错误、狂热而显现。”
食物与欲望：“石涛不仅在酒的作用...",Socio-cultural Interpretation,社会文化解读型,0.473011314868927,"{'Cross-cultural Influence': {'score': 0.9567639827728271, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.8510233759880066, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.8318562507629395, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.7935783267021179, 'zh': '情感传递'}, 'Use of Color': {'score': 0.7865268588066101, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.644275963306427, 'zh': '皴法特点'}, 'Artistic Conception': {'score': 0.6226195096969604, 'zh': '意境表达'}, 'Genre': {'score': 0.5966187119483948, 'zh': '题材选择'}, 'Artist Biography': {'score': 0.3611243665218353, 'zh': '画家生平'}, 'Style/School': {'score': 0.3248697817325592, 'zh': '风格流派'}, 'Subject Matter': {'score': 0.25790196657180786, 'zh': '主题内容'}, 'Line Quality': {'score': 0.21714286506175995, 'zh': '线条质量'}, 'Ink Application': {'score': 0.14912360906600952, 'zh': '墨法变化'}, 'Technique Inheritance & Innovation': {'score': 0.10914502292871475, 'zh': '技法传承与创新'}, 'Historical Context': {'score': 0.05072549358010292, 'zh': '历史背景'}, 'Spatial Representation': {'score': 0.01569163240492344, 'zh': '空间营造'}, 'Brushwork Technique': {'score': 0.015538172796368599, 'zh': '笔法技巧'}}","{'Subjective/Biased View': {'score': 0.8596177101135254, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.5421902537345886, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.3165941536426544, 'zh': '引用经典佐证'}, 'Overly General Content': {'score': 0.23910486698150635, 'zh': '内容较为宽泛'}, 'Logical Gaps': {'score': 0.1504032164812088, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.09730028361082077, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.07847923040390015, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.054052095860242844, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.04968202859163284, 'zh': '观点客观公允'}, 'Lacks Examples': {'score': 0.04833919554948807, 'zh': '缺乏具体例证'}, 'Clear Logic': {'score': 0.0077331289649009705, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.2_属于自己的时刻.txt,"“情韵是他作为明代诗人画家传统的一部分，其承传可上溯至沈周...（图145跋）‘诗中画性情中来者也...画中诗乃境趣时生者也...’”
专注与安全感：“‘安’字，有着稳定、和平、安宁、静止和休养等意义...‘安’也可指经济保障...” “专注借由向心力量而加强了从容内敛与无限持续的孤寂...虽则短暂，却使那一时刻转变为心灵家园。”
专注的图像：（图204儿童放风筝）“‘纸上传得春消息，若到花时，何...",Socio-cultural Interpretation,社会文化解读型,0.3715243339538574,"{'Emotional Expression': {'score': 0.9825721383094788, 'zh': '情感传递'}, 'Cross-cultural Influence': {'score': 0.9707043170928955, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.9366527199745178, 'zh': '象征意义'}, 'Genre': {'score': 0.8923542499542236, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.8724631071090698, 'zh': '主题内容'}, 'Texture Strokes (Chunfa)': {'score': 0.8348782062530518, 'zh': '皴法特点'}, 'Artistic Conception': {'score': 0.7843549847602844, 'zh': '意境表达'}, 'Layout and Structure': {'score': 0.7656176090240479, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.6709843277931213, 'zh': '历史背景'}, 'Style/School': {'score': 0.5492374300956726, 'zh': '风格流派'}, 'Use of Color': {'score': 0.5479987263679504, 'zh': '色彩运用'}, 'Line Quality': {'score': 0.4621177315711975, 'zh': '线条质量'}, 'Technique Inheritance & Innovation': {'score': 0.36918485164642334, 'zh': '技法传承与创新'}, 'Spatial Representation': {'score': 0.306497186422348, 'zh': '空间营造'}, 'Ink Application': {'score': 0.26540663838386536, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.11025363206863403, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.08548004925251007, 'zh': '画家生平'}}","{'Subjective/Biased View': {'score': 0.9694905281066895, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.9667450189590454, 'zh': '引用经典佐证'}, 'Logical Gaps': {'score': 0.8917569518089294, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.8474436402320862, 'zh': '论述流于表面'}, 'Profound Insight': {'score': 0.43611493706703186, 'zh': '见解深刻独到'}, 'Overly General Content': {'score': 0.38993003964424133, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.3703831732273102, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.1117582842707634, 'zh': '论证充分有力'}, 'Objective Viewpoint': {'score': 0.09143242985010147, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.0438104011118412, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.007055945228785276, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.3_大限.txt,"李磷挽诗：“往日招寻惯，孤栖失两城。里言难众喻，狂赏出心诚。从此西州路，含愁那忍行？”
石涛对死亡的关注：“贯穿大涤堂时期不断的病痛，令他经常恐惧死亡将至...‘群狮心惊久已’、‘将谓苦瓜根欲断之矣’...（1701年）他总结道：‘此十年之内，知交数辈，学太白之歌，颇不寂寞云。’”
临终前的创作：“石涛对丧礼的深切关注...石涛1707年秋天不断以图像寻求终结的背后，是关于身后的焦虑驱使他对完成自...",Strong Negation,强烈否定与驳斥,0.2500731348991394,"{'Cross-cultural Influence': {'score': 0.9639567732810974, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.9571951627731323, 'zh': '情感传递'}, 'Symbolism': {'score': 0.9548164010047913, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.9383602738380432, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.9108175039291382, 'zh': '历史背景'}, 'Genre': {'score': 0.89680415391922, 'zh': '题材选择'}, 'Texture Strokes (Chunfa)': {'score': 0.8864566683769226, 'zh': '皴法特点'}, 'Subject Matter': {'score': 0.8851637244224548, 'zh': '主题内容'}, 'Spatial Representation': {'score': 0.8514353632926941, 'zh': '空间营造'}, 'Ink Application': {'score': 0.8165976405143738, 'zh': '墨法变化'}, 'Line Quality': {'score': 0.8145295977592468, 'zh': '线条质量'}, 'Artistic Conception': {'score': 0.811308741569519, 'zh': '意境表达'}, 'Style/School': {'score': 0.7382901906967163, 'zh': '风格流派'}, 'Use of Color': {'score': 0.6988780498504639, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.6229952573776245, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.4920281171798706, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.259939044713974, 'zh': '笔法技巧'}}","{'Logical Gaps': {'score': 0.9627900719642639, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.9362812042236328, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.87210613489151, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.7845430374145508, 'zh': '论述流于表面'}, 'Overly General Content': {'score': 0.782050371170044, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.7770771384239197, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.40154829621315, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.3151235282421112, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.25244957208633423, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.038046181201934814, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.005500945262610912, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.1_山水中的人物.txt,"山水中的人物：

“石涛画中主宰山水的代表人物通常是他自己、他的朋友及顾客，即使未加以特别标识，这些人物通常也可被解读为精英阶层分子...这群人还可以缩小至城市精英的界线内...”    
“（非精英阶层）常以两种角色出现：若非家仆，便是船夫、搬运工、导游、赶骡的人及挑夫等使17世纪晚期中国交通运输流畅的人。”    
“清初在阶级方面的语汇宛如种姓制度般...关键的差异在于其介于自由与不自由的劳...",Socio-cultural Interpretation,社会文化解读型,0.7208245396614075,"{'Cross-cultural Influence': {'score': 0.9736997485160828, 'zh': '跨文化影响'}, 'Spatial Representation': {'score': 0.9545419216156006, 'zh': '空间营造'}, 'Layout and Structure': {'score': 0.9474965929985046, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.8887557983398438, 'zh': '历史背景'}, 'Symbolism': {'score': 0.8815103769302368, 'zh': '象征意义'}, 'Subject Matter': {'score': 0.8118189573287964, 'zh': '主题内容'}, 'Genre': {'score': 0.7815514802932739, 'zh': '题材选择'}, 'Emotional Expression': {'score': 0.7368120551109314, 'zh': '情感传递'}, 'Artistic Conception': {'score': 0.6887352466583252, 'zh': '意境表达'}, 'Line Quality': {'score': 0.579319179058075, 'zh': '线条质量'}, 'Texture Strokes (Chunfa)': {'score': 0.5712273120880127, 'zh': '皴法特点'}, 'Use of Color': {'score': 0.5660553574562073, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.5640213489532471, 'zh': '技法传承与创新'}, 'Style/School': {'score': 0.5216599702835083, 'zh': '风格流派'}, 'Artist Biography': {'score': 0.47117096185684204, 'zh': '画家生平'}, 'Ink Application': {'score': 0.3944714069366455, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.3086872398853302, 'zh': '笔法技巧'}}","{'Subjective/Biased View': {'score': 0.9603390693664551, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.8072136640548706, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.7680456638336182, 'zh': '逻辑存在跳跃'}, 'Classical Citations': {'score': 0.7357674241065979, 'zh': '引用经典佐证'}, 'Lacks Examples': {'score': 0.5020655989646912, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.3932455778121948, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.35199055075645447, 'zh': '论证充分有力'}, 'Objective Viewpoint': {'score': 0.32391372323036194, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.20660533010959625, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.10301263630390167, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.011927295476198196, 'zh': '逻辑清晰严密'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.2_自传式的指涉.txt,"自传式的指涉：

“石涛不完全属于上述四种基本分类的任何一种。他一直以僧人姿态在清初社会闯荡，直到1696年脱离僧伽为止。宗教人物的社会地位并不容易放入...世俗阶级中；这可由宗教人士通常被称呼为‘方外’得到证实。”    
“如同其老师旅庵本月与师祖木陈道（闵麟嗣）等先辈，石涛原属佛教人士中的知识精英，在某种程度上是穿着僧袍的文人。”    
“石涛一生经常清楚地以‘遗世’僧人的身份面对其观众....",Socio-cultural Interpretation,社会文化解读型,0.6475233435630798,"{'Symbolism': {'score': 0.9922835230827332, 'zh': '象征意义'}, 'Cross-cultural Influence': {'score': 0.9773066639900208, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.9645008444786072, 'zh': '历史背景'}, 'Genre': {'score': 0.8857939839363098, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.8804781436920166, 'zh': '主题内容'}, 'Artist Biography': {'score': 0.8439152836799622, 'zh': '画家生平'}, 'Use of Color': {'score': 0.8178613185882568, 'zh': '色彩运用'}, 'Layout and Structure': {'score': 0.7893039584159851, 'zh': '布局与结构'}, 'Texture Strokes (Chunfa)': {'score': 0.6980425119400024, 'zh': '皴法特点'}, 'Emotional Expression': {'score': 0.6980035305023193, 'zh': '情感传递'}, 'Line Quality': {'score': 0.5412501096725464, 'zh': '线条质量'}, 'Style/School': {'score': 0.42194318771362305, 'zh': '风格流派'}, 'Artistic Conception': {'score': 0.3177078664302826, 'zh': '意境表达'}, 'Technique Inheritance & Innovation': {'score': 0.20791949331760406, 'zh': '技法传承与创新'}, 'Ink Application': {'score': 0.2005002647638321, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.1527612805366516, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.002010181313380599, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9837868213653564, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.8764119148254395, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.7230464220046997, 'zh': '论述流于表面'}, 'Strong Argumentation': {'score': 0.3748616576194763, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.21248899400234222, 'zh': '逻辑存在跳跃'}, 'Objective Viewpoint': {'score': 0.10620377957820892, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.10146085172891617, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.041732944548130035, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.024963336065411568, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.010690550319850445, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.002661969978362322, 'zh': '细节分析具体'}}"
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.3_休闲及其寂静.txt,"休闲及其寂静：

石涛山水画空间的社会地理学区域划分：“它的第一个区域——我称之为‘休闲区域’——是一个非现实意义上某个可居的城镇或乡村...第二个区域更深入旷野，一点农作也没有。这里属于奇境...第三个区域则是可以由一地到另一地且不属于任何人的道路和运河、河流和湖泊、渡口和关隘...（第四个区域）城镇的都市型山水景致...在其山水视界形成一个特殊的社会地理学区域。”    
“其中以‘士’为典型...",Socio-cultural Interpretation,社会文化解读型,0.6848286986351013,"{'Cross-cultural Influence': {'score': 0.9724265336990356, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.9699059128761292, 'zh': '象征意义'}, 'Spatial Representation': {'score': 0.9671871662139893, 'zh': '空间营造'}, 'Layout and Structure': {'score': 0.8617624044418335, 'zh': '布局与结构'}, 'Subject Matter': {'score': 0.8445757031440735, 'zh': '主题内容'}, 'Genre': {'score': 0.8299612402915955, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.7639800906181335, 'zh': '意境表达'}, 'Historical Context': {'score': 0.7135068774223328, 'zh': '历史背景'}, 'Use of Color': {'score': 0.5680109262466431, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.5044503808021545, 'zh': '皴法特点'}, 'Style/School': {'score': 0.43416112661361694, 'zh': '风格流派'}, 'Line Quality': {'score': 0.41726091504096985, 'zh': '线条质量'}, 'Emotional Expression': {'score': 0.4109751582145691, 'zh': '情感传递'}, 'Artist Biography': {'score': 0.3502754867076874, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.29929280281066895, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.2691476345062256, 'zh': '墨法变化'}, 'Technique Inheritance & Innovation': {'score': 0.19494707882404327, 'zh': '技法传承与创新'}}","{'Subjective/Biased View': {'score': 0.9737103581428528, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.9544858932495117, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.9251880645751953, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.7415806651115417, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.5079927444458008, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.3904164135456085, 'zh': '内容较为宽泛'}, 'Classical Citations': {'score': 0.2582874894142151, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.0840836763381958, 'zh': '论证充分有力'}, 'Clear Logic': {'score': 0.023332366719841957, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.015011060051620007, 'zh': '细节分析具体'}, 'Profound Insight': {'score': 0.004845482762902975, 'zh': '见解深刻独到'}}"
