file_id,text_preview,stance_label_en,stance_label_zh,stance_score,features,quality
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\1_引言.txt,当中国受蒙古人的异族统治时（元代，1279—1368），儒生重又处于社会地位相对低下的历史时期。到明代，才恢复成为四民之首。儒生作为统治阶层，自然希望社会稳定”。因此，在趣味上，他们不求变动，反对标新立异，也是情理之中的事。大体说来，儒生就像英国的斯威夫特（Swift 1667-1745），都是古典主义者。斯威夫特维护古代学问，反对现代学问；热衷于人文科学，讨厌自然科学；他对于把实用性作为判断价值...,Socio-cultural Interpretation,社会文化解读型,0.4617839455604553,"{'Cross-cultural Influence': {'score': 0.984036386013031, 'zh': '跨文化影响'}, 'Genre': {'score': 0.8964114189147949, 'zh': '题材选择'}, 'Historical Context': {'score': 0.8575776219367981, 'zh': '历史背景'}, 'Style/School': {'score': 0.828121542930603, 'zh': '风格流派'}, 'Emotional Expression': {'score': 0.8158550262451172, 'zh': '情感传递'}, 'Subject Matter': {'score': 0.6826270818710327, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.6632635593414307, 'zh': '意境表达'}, 'Symbolism': {'score': 0.6006597876548767, 'zh': '象征意义'}, 'Technique Inheritance & Innovation': {'score': 0.5220957398414612, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.42448222637176514, 'zh': '画家生平'}, 'Layout and Structure': {'score': 0.3397579789161682, 'zh': '布局与结构'}, 'Use of Color': {'score': 0.2555027902126312, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.2546003460884094, 'zh': '皴法特点'}, 'Ink Application': {'score': 0.1900915950536728, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.17631550133228302, 'zh': '笔法技巧'}, 'Line Quality': {'score': 0.17612962424755096, 'zh': '线条质量'}, 'Spatial Representation': {'score': 0.0423625148832798, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9134308695793152, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.8443849682807922, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.7344920039176941, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.5758224129676819, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.2657671868801117, 'zh': '见解深刻独到'}, 'Overly General Content': {'score': 0.2656864523887634, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.24189014732837677, 'zh': '论证充分有力'}, 'Lacks Examples': {'score': 0.14999018609523773, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.13584817945957184, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.054562076926231384, 'zh': '逻辑清晰严密'}, 'Objective Viewpoint': {'score': 0.03332112357020378, 'zh': '观点客观公允'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.1_明代的社会风格.txt,正如极端唯美主义的明代“八股文”所显示的，明人把做官当作一种业余活动的倾向，可能比以往任何一个朝代都要强烈。官员有正规的训练，但训练并不直接针对他们将要从事的专职。衙门胥吏在任何时候都只是雇来的帮手，不具备儒生合乎体统的领导地位；官僚机构由科举出身的高级官员把持，但这些统治阶级的精英却并不涉足专门知识。官府的威信就建立在这一事实之上。一个学者的纯文学修养是与专门的技术过程相脱离的，他因此有资格发号...,Aesthetic Appreciation,美学鉴赏型,0.14051467180252075,"{'Cross-cultural Influence': {'score': 0.7122580409049988, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.6289135217666626, 'zh': '象征意义'}, 'Historical Context': {'score': 0.5271501541137695, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.4458385705947876, 'zh': '主题内容'}, 'Technique Inheritance & Innovation': {'score': 0.4240145981311798, 'zh': '技法传承与创新'}, 'Texture Strokes (Chunfa)': {'score': 0.40651440620422363, 'zh': '皴法特点'}, 'Layout and Structure': {'score': 0.3755895495414734, 'zh': '布局与结构'}, 'Ink Application': {'score': 0.3591558337211609, 'zh': '墨法变化'}, 'Line Quality': {'score': 0.33833518624305725, 'zh': '线条质量'}, 'Style/School': {'score': 0.3353712260723114, 'zh': '风格流派'}, 'Genre': {'score': 0.32443270087242126, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.3141786456108093, 'zh': '意境表达'}, 'Brushwork Technique': {'score': 0.30691003799438477, 'zh': '笔法技巧'}, 'Emotional Expression': {'score': 0.2504187226295471, 'zh': '情感传递'}, 'Use of Color': {'score': 0.23775072395801544, 'zh': '色彩运用'}, 'Artist Biography': {'score': 0.16637752950191498, 'zh': '画家生平'}, 'Spatial Representation': {'score': 0.13209955394268036, 'zh': '空间营造'}}","{'Logical Gaps': {'score': 0.5847160816192627, 'zh': '逻辑存在跳跃'}, 'Objective Viewpoint': {'score': 0.4794815480709076, 'zh': '观点客观公允'}, 'Subjective/Biased View': {'score': 0.42700156569480896, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.4082361161708832, 'zh': '论述流于表面'}, 'Clear Logic': {'score': 0.3465280532836914, 'zh': '逻辑清晰严密'}, 'Classical Citations': {'score': 0.33446311950683594, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.309415340423584, 'zh': '论证充分有力'}, 'Lacks Examples': {'score': 0.2578313648700714, 'zh': '缺乏具体例证'}, 'Profound Insight': {'score': 0.2524297535419464, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.20701101422309875, 'zh': '细节分析具体'}, 'Overly General Content': {'score': 0.05151079595088959, 'zh': '内容较为宽泛'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.2_明代的绘画风格.txt,"明代的绘画风格

很早以前，宋代的王安石在一些改革措施中，曾试图使科举考试更切近实际，而不光是考那些诗文。王安石毫无疑问是-个儒家信徒，他要力图恢复儒家对政治的首要关心。虽然他那些最出色的同僚和同时代学者起初大都同意这一信念，但最终却离他而去。而一般的儒生更是从不宽恕他。这是否只因为他们认为王安石总的方案不现实？或因为他的三经新义值得商？还是因为这对他们的既得利益有直接的实质性的威胁？或者是他们也...",Socio-cultural Interpretation,社会文化解读型,0.302278071641922,"{'Cross-cultural Influence': {'score': 0.9711744785308838, 'zh': '跨文化影响'}, 'Style/School': {'score': 0.8640458583831787, 'zh': '风格流派'}, 'Genre': {'score': 0.7016270160675049, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.6029636859893799, 'zh': '意境表达'}, 'Subject Matter': {'score': 0.4383458197116852, 'zh': '主题内容'}, 'Historical Context': {'score': 0.4375072419643402, 'zh': '历史背景'}, 'Artist Biography': {'score': 0.3997917175292969, 'zh': '画家生平'}, 'Use of Color': {'score': 0.3901759386062622, 'zh': '色彩运用'}, 'Emotional Expression': {'score': 0.3638888895511627, 'zh': '情感传递'}, 'Technique Inheritance & Innovation': {'score': 0.3568621277809143, 'zh': '技法传承与创新'}, 'Ink Application': {'score': 0.35575804114341736, 'zh': '墨法变化'}, 'Symbolism': {'score': 0.3531273901462555, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.3389067053794861, 'zh': '布局与结构'}, 'Texture Strokes (Chunfa)': {'score': 0.32003337144851685, 'zh': '皴法特点'}, 'Brushwork Technique': {'score': 0.30196982622146606, 'zh': '笔法技巧'}, 'Line Quality': {'score': 0.1671278178691864, 'zh': '线条质量'}, 'Spatial Representation': {'score': 0.12882640957832336, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.8775851130485535, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.6108483672142029, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.575951337814331, 'zh': '逻辑存在跳跃'}, 'Strong Argumentation': {'score': 0.45234861969947815, 'zh': '论证充分有力'}, 'Classical Citations': {'score': 0.36364462971687317, 'zh': '引用经典佐证'}, 'Overly General Content': {'score': 0.35407647490501404, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.2837252616882324, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.1536094695329666, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.13164183497428894, 'zh': '逻辑清晰严密'}, 'Profound Insight': {'score': 0.06601221114397049, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.02662256360054016, 'zh': '观点客观公允'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.1_绘画中的“南北宗”.txt,"因为绘画界的精英同时是知识界和社会上的领袖人物，所以就形成了一种思想流派，和业余爱好者的圈子。到了明末，“南画”这个美学上的术语已等同于“文人画”和“士大夫画”，而在社会学上它又是“缙绅”画的同义词。首先提出南北宗说的并不是反对以画谋生的董其昌，但使南北宗之分成为鉴赏家的准则的却正是他。这位晚明书画家与书画批评家是艺林的“百代宗师”，执画坛之牛耳，名声远及琉球、高丽。    

他从各派大师追溯南...",Aesthetic Appreciation,美学鉴赏型,0.2717660665512085,"{'Cross-cultural Influence': {'score': 0.7871065139770508, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.4733603000640869, 'zh': '情感传递'}, 'Subject Matter': {'score': 0.3788660764694214, 'zh': '主题内容'}, 'Symbolism': {'score': 0.3383871912956238, 'zh': '象征意义'}, 'Genre': {'score': 0.273436039686203, 'zh': '题材选择'}, 'Use of Color': {'score': 0.2705841064453125, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.22002971172332764, 'zh': '皴法特点'}, 'Style/School': {'score': 0.1676785796880722, 'zh': '风格流派'}, 'Artistic Conception': {'score': 0.16025181114673615, 'zh': '意境表达'}, 'Historical Context': {'score': 0.1368139684200287, 'zh': '历史背景'}, 'Technique Inheritance & Innovation': {'score': 0.08169742673635483, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.07659462839365005, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.06214351952075958, 'zh': '画家生平'}, 'Line Quality': {'score': 0.06115925312042236, 'zh': '线条质量'}, 'Ink Application': {'score': 0.05562583729624748, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.04051844775676727, 'zh': '空间营造'}, 'Layout and Structure': {'score': 0.031021475791931152, 'zh': '布局与结构'}}","{'Subjective/Biased View': {'score': 0.4711202383041382, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.3641316294670105, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.1458563655614853, 'zh': '见解深刻独到'}, 'Classical Citations': {'score': 0.12508849799633026, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.08165568858385086, 'zh': '论证充分有力'}, 'Superficial Treatment': {'score': 0.06848760694265366, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.06153767183423042, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.03876800090074539, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.03271937742829323, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.018091857433319092, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.004125583451241255, 'zh': '逻辑清晰严密'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.2_儒生对佛教美学的选择.txt,"儒生对佛教美学的选择    

这里有一个对理解明代文化真正具有重要意义的问题：明代儒生，那些在文学中最学究气的，一心死守书本知识的人们，而且这些书本知识主要是指在文明中人们的互相关系，怎么会去舍弃他们将其与学识联系在一起的那种绘画理论，转而出于明智的考虑去赞赏一种神秘抽象的反知识的理论？也许有人期望儒家传统主义者会对北宗院体画发生共鸣，反对南宗的禅画，因为他们寻求对社会上的人实施循序渐进的教育，...",Socio-cultural Interpretation,社会文化解读型,0.5411242246627808,"{'Cross-cultural Influence': {'score': 0.972153902053833, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.8781325817108154, 'zh': '历史背景'}, 'Symbolism': {'score': 0.8099952340126038, 'zh': '象征意义'}, 'Genre': {'score': 0.7372288703918457, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.7081378102302551, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.6662275195121765, 'zh': '意境表达'}, 'Emotional Expression': {'score': 0.6475527882575989, 'zh': '情感传递'}, 'Style/School': {'score': 0.625743567943573, 'zh': '风格流派'}, 'Use of Color': {'score': 0.5435193181037903, 'zh': '色彩运用'}, 'Layout and Structure': {'score': 0.42640626430511475, 'zh': '布局与结构'}, 'Texture Strokes (Chunfa)': {'score': 0.4078969657421112, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.37914422154426575, 'zh': '线条质量'}, 'Technique Inheritance & Innovation': {'score': 0.33446213603019714, 'zh': '技法传承与创新'}, 'Ink Application': {'score': 0.3282349705696106, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.2640225291252136, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.2520745098590851, 'zh': '画家生平'}, 'Spatial Representation': {'score': 0.21900616586208344, 'zh': '空间营造'}}","{'Logical Gaps': {'score': 0.9895644187927246, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.9844695329666138, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.7863619327545166, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.6153075695037842, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.5765295028686523, 'zh': '内容较为宽泛'}, 'Classical Citations': {'score': 0.44307681918144226, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.3535135090351105, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.1292119324207306, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.11434426158666611, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.005403285380452871, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.002962519647553563, 'zh': '逻辑清晰严密'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.3_性灵的成规化.txt,"性灵的成规化    

一个表面属于佛教的学说，一旦被儒学的精神所包容，其本身必然产生变化。明代美学真正的论并不在于两个互相对立的观念的调和，而是在于其中一个观念的自我矛盾。只要对立双方的一方自我否定，矛盾就能很容易地得到解决。从以上分析可见，受传统教育的士大夫画家对强调个人灵感的南宗绘画觉得如鱼得水，是因为南宗有一套产生灵感的法则。反职业化就其社会性而言对士大夫业余画家是至关重要的，但从学识方面...",Aesthetic Appreciation,美学鉴赏型,0.26544615626335144,"{'Cross-cultural Influence': {'score': 0.9720939993858337, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.9650634527206421, 'zh': '情感传递'}, 'Artistic Conception': {'score': 0.8894973993301392, 'zh': '意境表达'}, 'Layout and Structure': {'score': 0.8849717378616333, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.8829250931739807, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.8578421473503113, 'zh': '主题内容'}, 'Genre': {'score': 0.8544467091560364, 'zh': '题材选择'}, 'Symbolism': {'score': 0.847933828830719, 'zh': '象征意义'}, 'Style/School': {'score': 0.8209397792816162, 'zh': '风格流派'}, 'Artist Biography': {'score': 0.7338849306106567, 'zh': '画家生平'}, 'Texture Strokes (Chunfa)': {'score': 0.664424479007721, 'zh': '皴法特点'}, 'Technique Inheritance & Innovation': {'score': 0.6461082100868225, 'zh': '技法传承与创新'}, 'Line Quality': {'score': 0.6238554120063782, 'zh': '线条质量'}, 'Use of Color': {'score': 0.5462815761566162, 'zh': '色彩运用'}, 'Ink Application': {'score': 0.4795936644077301, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.45690202713012695, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.30433404445648193, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9033498167991638, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.8615129590034485, 'zh': '引用经典佐证'}, 'Logical Gaps': {'score': 0.798958420753479, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.7970777153968811, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.6955167055130005, 'zh': '观点客观公允'}, 'Lacks Examples': {'score': 0.6950568556785583, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.6754921078681946, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.6532330513000488, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.6502653956413269, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.20311303436756134, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.15104977786540985, 'zh': '内容较为宽泛'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.4_官与因循守旧的美学：从反面对这两者联系的一个肯定.txt,"官与因循守旧的美学：从反面对这两者联系的一个肯定    

17世纪活跃着三位古怪的画家，他们对于禅画的专注远比一般南宗画家要灵活自由，他们的作品不落案白，远胜于同时代画家。这三位画家就是僧人石涛、石溪以及八大山人。    

有人敬畏地称二石为“三生游胜者”。二石是画家，这也就是说，他们并不是一步步的循序渐进，而是豁然醒悟，一跌而达到绘画的颠峰。石溪在一幅画面题写道：“我像是和山川对话那样挥毫作...",Socio-cultural Interpretation,社会文化解读型,0.5026752948760986,"{'Cross-cultural Influence': {'score': 0.9780865907669067, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.8671271204948425, 'zh': '布局与结构'}, 'Emotional Expression': {'score': 0.8348084092140198, 'zh': '情感传递'}, 'Style/School': {'score': 0.50453782081604, 'zh': '风格流派'}, 'Symbolism': {'score': 0.4477035403251648, 'zh': '象征意义'}, 'Technique Inheritance & Innovation': {'score': 0.4236835241317749, 'zh': '技法传承与创新'}, 'Artistic Conception': {'score': 0.4220881760120392, 'zh': '意境表达'}, 'Genre': {'score': 0.3892897069454193, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.3647838234901428, 'zh': '主题内容'}, 'Historical Context': {'score': 0.35730433464050293, 'zh': '历史背景'}, 'Line Quality': {'score': 0.33253800868988037, 'zh': '线条质量'}, 'Use of Color': {'score': 0.3118084967136383, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.30956512689590454, 'zh': '皴法特点'}, 'Artist Biography': {'score': 0.2833070158958435, 'zh': '画家生平'}, 'Ink Application': {'score': 0.2645692229270935, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.22715449333190918, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.1105324923992157, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.8889450430870056, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.7626017928123474, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.46962594985961914, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.31574100255966187, 'zh': '缺乏具体例证'}, 'Strong Argumentation': {'score': 0.2088179886341095, 'zh': '论证充分有力'}, 'Classical Citations': {'score': 0.18772122263908386, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.12379521131515503, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.10773979127407074, 'zh': '细节分析具体'}, 'Overly General Content': {'score': 0.1017395630478859, 'zh': '内容较为宽泛'}, 'Objective Viewpoint': {'score': 0.0900215283036232, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.01149999164044857, 'zh': '逻辑清晰严密'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\4.1_流派界限的模糊化.txt,"流派界限的模糊化    

道其昌的南北宗美学区别意味着性灵与知识、自然与书本之间的对立。不过南宗的即兴论由于它那些学问渊博的信徒的社会责任而变得随和起来，南北宗之间的紧张关系不可避免地缓和了。完全出于南宗的同情心，董其昌相信南北宗之间是有可能并始融合的。在某种程度上，真实不仅可以被把握，而且也可以学到。“读万卷书，行万里路，胸中脱去尘浊，自然丘壑内营”。    

甚至是石溪这位17世纪极端的南...",Aesthetic Appreciation,美学鉴赏型,0.22926074266433716,"{'Cross-cultural Influence': {'score': 0.9872168302536011, 'zh': '跨文化影响'}, 'Emotional Expression': {'score': 0.7783216238021851, 'zh': '情感传递'}, 'Historical Context': {'score': 0.7726226449012756, 'zh': '历史背景'}, 'Genre': {'score': 0.5901139974594116, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.5855001211166382, 'zh': '意境表达'}, 'Style/School': {'score': 0.5660848617553711, 'zh': '风格流派'}, 'Subject Matter': {'score': 0.5626053214073181, 'zh': '主题内容'}, 'Texture Strokes (Chunfa)': {'score': 0.5068547129631042, 'zh': '皴法特点'}, 'Artist Biography': {'score': 0.49180832505226135, 'zh': '画家生平'}, 'Symbolism': {'score': 0.4570852518081665, 'zh': '象征意义'}, 'Layout and Structure': {'score': 0.44797444343566895, 'zh': '布局与结构'}, 'Line Quality': {'score': 0.40957701206207275, 'zh': '线条质量'}, 'Use of Color': {'score': 0.39151766896247864, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.30557072162628174, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.2568758726119995, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.19339843094348907, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.16207991540431976, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9153345823287964, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.8081349730491638, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.5754532814025879, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.5351390242576599, 'zh': '缺乏具体例证'}, 'Classical Citations': {'score': 0.5288205742835999, 'zh': '引用经典佐证'}, 'Overly General Content': {'score': 0.4495784044265747, 'zh': '内容较为宽泛'}, 'Strong Argumentation': {'score': 0.3019936978816986, 'zh': '论证充分有力'}, 'Detailed Analysis': {'score': 0.2004677802324295, 'zh': '细节分析具体'}, 'Profound Insight': {'score': 0.18074767291545868, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.10390693694353104, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.002678370801731944, 'zh': '逻辑清晰严密'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\4.2_收藏家与鉴赏家.txt,"收藏家与鉴赏家    

从概念上讲，综合论（王晕当然并非如此）并不是艺术化的根源。不同目的的技法结合在一起，当然有可能表现真正的美学见识。但是明末清初的综合论总的说来并不是来自画家们适应古人画法所达到的新见识，而是来自收藏家们对绘画技法的强烈爱好。    

起先，综合论者所杂揉的绘画技法是各自存在的，因为画家从一定的方法来观察他的主题，并力图用笔法来传其神。但是在至17世纪支配中国画坛的折衷倾...",Mild Criticism,温和批评与保留,0.2684188187122345,"{'Cross-cultural Influence': {'score': 0.9974287152290344, 'zh': '跨文化影响'}, 'Subject Matter': {'score': 0.9948204159736633, 'zh': '主题内容'}, 'Historical Context': {'score': 0.9897409081459045, 'zh': '历史背景'}, 'Genre': {'score': 0.9810108542442322, 'zh': '题材选择'}, 'Style/School': {'score': 0.9783608913421631, 'zh': '风格流派'}, 'Symbolism': {'score': 0.9648717641830444, 'zh': '象征意义'}, 'Emotional Expression': {'score': 0.9303948283195496, 'zh': '情感传递'}, 'Artistic Conception': {'score': 0.923268735408783, 'zh': '意境表达'}, 'Technique Inheritance & Innovation': {'score': 0.8186947107315063, 'zh': '技法传承与创新'}, 'Use of Color': {'score': 0.7040268182754517, 'zh': '色彩运用'}, 'Layout and Structure': {'score': 0.6845481991767883, 'zh': '布局与结构'}, 'Texture Strokes (Chunfa)': {'score': 0.6450008153915405, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.6259792447090149, 'zh': '线条质量'}, 'Ink Application': {'score': 0.6075394749641418, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.5006961822509766, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.49183282256126404, 'zh': '画家生平'}, 'Spatial Representation': {'score': 0.2590528726577759, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9792374968528748, 'zh': '观点主观片面'}, 'Logical Gaps': {'score': 0.969687283039093, 'zh': '逻辑存在跳跃'}, 'Superficial Treatment': {'score': 0.9366590976715088, 'zh': '论述流于表面'}, 'Strong Argumentation': {'score': 0.931435763835907, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.9013113975524902, 'zh': '见解深刻独到'}, 'Lacks Examples': {'score': 0.8698863387107849, 'zh': '缺乏具体例证'}, 'Classical Citations': {'score': 0.8640496730804443, 'zh': '引用经典佐证'}, 'Objective Viewpoint': {'score': 0.8509876132011414, 'zh': '观点客观公允'}, 'Detailed Analysis': {'score': 0.7509401440620422, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.5786803960800171, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.34017956256866455, 'zh': '内容较为宽泛'}}"
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\5.1_判断“衰落”的相对性.txt,"判断“衰落”的相对性    

美术史家们有时会让自已的课题逸出人世而钻进象牙之塔。在那里，变革的根本似乎来自美术自身，而不受画家的意志所支配。由此，我们确信17世纪荷兰风景画与布吕格尔（Breughel)全无相似之处，因为到17世纪，布吕格尔过份的风格主义的风景画传统已是强弩之末。或者，用同义反复来对付我们，按照这种同义反复，一旦一件美术品“触及它的风格的极限”，就“注定快要过时了”。从其“开出...",Aesthetic Appreciation,美学鉴赏型,0.2668326497077942,"{'Cross-cultural Influence': {'score': 0.9924736618995667, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.921750009059906, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.9144217371940613, 'zh': '历史背景'}, 'Genre': {'score': 0.8400155901908875, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.8206976056098938, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.7945261597633362, 'zh': '意境表达'}, 'Use of Color': {'score': 0.7408664226531982, 'zh': '色彩运用'}, 'Symbolism': {'score': 0.7151128649711609, 'zh': '象征意义'}, 'Technique Inheritance & Innovation': {'score': 0.7093076109886169, 'zh': '技法传承与创新'}, 'Style/School': {'score': 0.6895056366920471, 'zh': '风格流派'}, 'Emotional Expression': {'score': 0.6099844574928284, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.5968074798583984, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.5362213850021362, 'zh': '线条质量'}, 'Spatial Representation': {'score': 0.5231339931488037, 'zh': '空间营造'}, 'Artist Biography': {'score': 0.31685277819633484, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.3079596161842346, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.08882365375757217, 'zh': '墨法变化'}}","{'Logical Gaps': {'score': 0.9216585159301758, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.898628830909729, 'zh': '观点主观片面'}, 'Classical Citations': {'score': 0.8545947670936584, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.7500802874565125, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.5005187392234802, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.33076369762420654, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.2763233780860901, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.26746198534965515, 'zh': '内容较为宽泛'}, 'Profound Insight': {'score': 0.24847936630249023, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.12451957166194916, 'zh': '论证充分有力'}, 'Clear Logic': {'score': 0.047613438218832016, 'zh': '逻辑清晰严密'}}"
