file_id,source,primary_profile_viz,umap_1,umap_2
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.1_石涛画像.txt,human_expert,Comprehensive Analyst,22.581146,-1.8974583
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,human_expert,General Descriptive Profile,-12.644011,-5.060599
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.3_江南的绘画与现代性.txt,human_expert,Comprehensive Analyst,22.58184,-2.1648338
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.4_现代性地理志.txt,human_expert,Historically Focused,-5.845605,3.9238873
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.1_画家的欲望.txt,human_expert,General Descriptive Profile,-13.020883,-5.445282
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.2_属于自己的时刻.txt,human_expert,Historically Focused,-4.2728043,6.0540924
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.3_大限.txt,human_expert,Comprehensive Analyst,7.931138,4.9747486
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.1_山水中的人物.txt,human_expert,Theory & Comparison Focused,0.30117795,-1.8457046
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.2_自传式的指涉.txt,human_expert,Comprehensive Analyst,22.410713,-1.4729073
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.3_休闲及其寂静.txt,human_expert,Theory & Comparison Focused,1.5701127,-1.6086645
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.4_朝代转换之间的野逸.txt,human_expert,Theory & Comparison Focused,0.27440548,-1.8513092
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.5_模棱两可的士人.txt,human_expert,Comprehensive Analyst,8.569437,9.768325
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.6_文人生活的场景营造.txt,human_expert,Historically Focused,-4.136106,6.337891
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.1_感时论世的对话空间.txt,human_expert,Historically Focused,0.19161145,-1.7427781
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.2_费氏先莹.txt,human_expert,Comprehensive Analyst,22.10259,-0.42868367
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.3_黄又的游旅.txt,human_expert,Comprehensive Analyst,7.8496165,5.182167
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.4_1705年的洪水.txt,human_expert,General Descriptive Profile,-13.01704,-5.3149595
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.1_追溯石涛早年至1692年的人生历程.txt,human_expert,General Descriptive Profile,-12.892953,-5.453706
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.2_从清湘到宣城.txt,human_expert,General Descriptive Profile,-12.835506,-5.1531954
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.3_从宣城到北京.txt,human_expert,Comprehensive Analyst,22.198748,-0.54198587
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.4_自传式的艺术形态.txt,human_expert,Comprehensive Analyst,22.681211,-2.0718594
乔迅（Jonathan Hay）_清初中国的绘画与现代性\5.1_扬州及邻近区域.txt,human_expert,Comprehensive Analyst,20.312788,1.363206
乔迅（Jonathan Hay）_清初中国的绘画与现代性\5.2_石涛与八大山人.txt,human_expert,Historically Focused,-5.9538817,3.8453755
乔迅（Jonathan Hay）_清初中国的绘画与现代性\5.3_靖江后人.txt,human_expert,Historically Focused,-5.071756,4.2369456
乔迅（Jonathan Hay）_清初中国的绘画与现代性\5.4_宗室遗孤.txt,human_expert,Comprehensive Analyst,7.3784766,3.895366
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.1_职业画僧.txt,human_expert,Historically Focused,-4.2288566,6.1409907
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.2_清初的职业文人.txt,human_expert,Historically Focused,-4.6209474,5.127401
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.3_画家与赞助人.txt,human_expert,Comprehensive Analyst,22.639978,-1.9145203
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.4_生产策略.txt,human_expert,Comprehensive Analyst,21.96433,-0.20967187
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.5_弟子身兼赞助人.txt,human_expert,General Descriptive Profile,-12.718179,-5.6390347
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.1_扬州绘画市场.txt,human_expert,Historically Focused,-4.0744157,6.2689614
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.2_自况画.txt,human_expert,Comprehensive Analyst,22.242386,-0.82862633
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.3_装饰画.txt,human_expert,General Descriptive Profile,-12.846567,-5.5228686
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.4_纪念画.txt,human_expert,Comprehensive Analyst,22.113596,-0.43465853
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.5_幻象与价值.txt,human_expert,Comprehensive Analyst,9.706627,5.981591
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.1_清初画坛.txt,human_expert,General Descriptive Profile,-12.780714,-5.3280935
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.2_经世致用的伦理观.txt,human_expert,General Descriptive Profile,-12.845629,-5.4178042
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.3_石涛论技.txt,human_expert,Comprehensive Analyst,9.292103,3.561443
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.4_1703年为刘氏作山水大册.txt,human_expert,General Descriptive Profile,-12.676265,-5.4996743
乔迅（Jonathan Hay）_清初中国的绘画与现代性\9.1_禅师画家.txt,human_expert,General Descriptive Profile,-7.3981647,3.0754962
乔迅（Jonathan Hay）_清初中国的绘画与现代性\9.2_方士画家.txt,human_expert,Comprehensive Analyst,20.571718,1.310335
乔迅（Jonathan Hay）_清初中国的绘画与现代性\9.3_一与至人.txt,human_expert,Historically Focused,-4.1256967,6.3859124
乔迅（Jonathan Hay）_清初中国的绘画与现代性\9.4_自主的哲学.txt,human_expert,Theory & Comparison Focused,1.5704234,-1.5423918
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\1_引言.txt,human_expert,Historically Focused,-4.442412,5.667962
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.1_明代的社会风格.txt,human_expert,General Descriptive Profile,-7.8009624,2.84234
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.2_明代的绘画风格.txt,human_expert,Historically Focused,-4.4170055,5.608664
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.1_绘画中的“南北宗”.txt,human_expert,General Descriptive Profile,-12.634328,-5.507518
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\3.2_儒生对佛教美学的选择.txt,human_expert,Historically Focused,-4.463463,5.56218
