file_id,persona_id,source_type,tsne_x,tsne_y
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.1_石涛画像.txt,human_expert,human,2.5963242,16.172607
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,human_expert,human,-0.29591316,-13.111234
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.3_江南的绘画与现代性.txt,human_expert,human,3.294283,15.6046915
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.4_现代性地理志.txt,human_expert,human,6.945885,2.92716
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.1_画家的欲望.txt,human_expert,human,-2.517657,-0.9576006
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.2_属于自己的时刻.txt,human_expert,human,5.717682,10.263915
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.3_大限.txt,human_expert,human,5.2431674,13.346048
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.1_山水中的人物.txt,human_expert,human,4.9687667,11.032522
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.2_自传式的指涉.txt,human_expert,human,0.6247812,8.516168
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.3_休闲及其寂静.txt,human_expert,human,6.6396484,10.82757
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.4_朝代转换之间的野逸.txt,human_expert,human,7.116613,10.173362
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.5_模棱两可的士人.txt,human_expert,human,4.6618385,14.716308
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.6_文人生活的场景营造.txt,human_expert,human,-2.9581943,8.146039
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.1_感时论世的对话空间.txt,human_expert,human,6.881139,3.0572567
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.2_费氏先莹.txt,human_expert,human,1.7646298,6.923178
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.3_黄又的游旅.txt,human_expert,human,3.8305712,10.8751335
