file_id,original_relative_file_path,author_display_name,primary_profile_or_status,kmeans_cluster,tsne_x,tsne_y,umap_x,umap_y,stance_score,Comprehensive Analyst_score,Historically Focused_score,Technique & Style Focused_score,Theory & Comparison Focused_score,General Descriptive Profile_score
1-1,正月(Basic).txt,Basic,Lacks_Specific_Focus,2,0.5810779,-2.5849,10.873519,17.784405,0.3929886519908905,0.0,0.0,0.0,0.0,0.14293450117111206
1-2,正月(Basic).txt,Basic,Lacks_Specific_Focus,1,-0.77027726,-3.2610617,11.737581,17.520866,0.1942967921495437,0.0,0.0,0.0,0.0,0.02859934900929643
1-3,正月(Basic).txt,Basic,Lacks_Specific_Focus,4,-2.2752519,2.303164,14.078596,14.352475,0.3076262474060058,0.0,0.0,0.0,0.0,0.04225394366155589
1-4,正月(Basic).txt,Basic,General Descriptive Profile,2,-0.9416429,-1.2626455,10.142257,17.145779,0.6087474226951599,0.0,0.0,0.0,0.0,0.30921367140185524
1-5,正月(Basic).txt,Basic,Lacks_Specific_Focus,2,-0.28137004,-2.7292056,11.145387,18.067295,0.5770114064216614,0.0,0.0,0.0,0.0,0.2511831802480361
1-6,正月(Basic).txt,Basic,Technique & Style Focused,0,-3.6987433,-0.8275714,9.386609,15.930578,0.241031065583229,0.0,0.0,0.34207293505177777,0.0,0.17138341521723802
1-7,正月(Basic).txt,Basic,Lacks_Specific_Focus,1,0.70960236,-3.6223567,11.44652,17.584099,0.4178315997123718,0.0,0.0,0.0,0.0,0.015809357690159224
2-1,正月(with_Brother_Thomas).txt,Brother_Thomas,Lacks_Specific_Focus,2,-0.21612531,-1.713058,10.195903,17.536665,0.3582146167755127,0.0,0.0,0.0,0.0,0.1451652565931174
2-2,正月(with_Brother_Thomas).txt,Brother_Thomas,Theory & Comparison Focused,5,-3.4302962,-3.4525633,12.125591,15.751845,0.3293748795986175,0.0,0.0,0.28759785127259935,0.382088303565979,0.28769151610446797
2-3,正月(with_Brother_Thomas).txt,Brother_Thomas,Lacks_Specific_Focus,2,0.9692324,-1.437514,9.96151,17.994043,0.3283952474594116,0.0,0.0,0.0,0.0,0.2120586929314914
2-4,正月(with_Brother_Thomas).txt,Brother_Thomas,General Descriptive Profile,5,-3.2286706,-2.0275822,10.602319,15.279783,0.4776291251182556,0.0,0.0,0.2434443743132493,0.0,0.3955777393763556
3-1,正月(with_Dr_Aris_Thorne).txt,Dr_Aris_Thorne,Lacks_Specific_Focus,1,-1.0842844,-4.2083006,12.496056,17.375526,0.1914965510368347,0.0,0.0,0.0,0.0,0.037870592724053756
3-2,正月(with_Dr_Aris_Thorne).txt,Dr_Aris_Thorne,Lacks_Specific_Focus,4,-1.4158355,1.7532824,14.13415,13.841327,0.2310457378625869,0.0,0.0,0.04866901636123657,0.0,0.18504560863061298
3-3,正月(with_Dr_Aris_Thorne).txt,Dr_Aris_Thorne,Lacks_Specific_Focus,2,-1.5688047,-2.0964687,10.722884,16.65651,0.3529079556465149,0.0,0.0,0.12712704443975403,0.0,0.21313251467063066
3-4,正月(with_Dr_Aris_Thorne).txt,Dr_Aris_Thorne,Technique & Style Focused,0,-3.018883,-1.3069822,9.9464245,15.687602,0.4010361135005951,0.0,0.0,0.3487039132153286,0.0,0.3134987762790512
3-5,正月(with_Dr_Aris_Thorne).txt,Dr_Aris_Thorne,Lacks_Specific_Focus,2,-0.16577265,-2.318917,10.816331,18.273687,0.2221727222204208,0.0,0.0,0.0,0.0,0.0626305014450342
4-1,正月(with_Guo_Xi).txt,Guo_Xi,Technique & Style Focused,5,-3.4824135,-3.2108448,12.304033,15.329964,0.2305728197097778,0.0,0.0,0.4188257905344169,0.24709689617156982,0.26479205791713956
4-2,正月(with_Guo_Xi).txt,Guo_Xi,Lacks_Specific_Focus,4,-2.5291,2.0286322,13.949901,14.597866,0.2373515963554382,0.0,0.0,0.0,0.0,0.025528246343707317
4-3,正月(with_Guo_Xi).txt,Guo_Xi,Lacks_Specific_Focus,2,-1.102325,-0.71814585,9.930109,16.826015,0.3362653255462646,0.0,0.0,0.0,0.0,0.1825180112431417
4-4,正月(with_Guo_Xi).txt,Guo_Xi,General Descriptive Profile,0,-2.0925393,-1.9975016,10.514921,16.118856,0.547436535358429,0.0,0.0,0.17029384549926307,0.0,0.3618244559001078
4-5,正月(with_Guo_Xi).txt,Guo_Xi,General Descriptive Profile,0,-3.3218806,-1.2584234,9.643144,15.598115,0.4606982767581939,0.0,0.0,0.34794750825008924,0.0,0.3557217994948879
4-6,正月(with_Guo_Xi).txt,Guo_Xi,Theory & Comparison Focused,5,-3.359798,-3.9949617,12.721971,15.658609,0.2047096788883209,0.0,0.0,0.37106238947633435,0.3795408010482788,0.23633150016156862
5-1,正月(with_John_Ruskin).txt,John_Ruskin,General Descriptive Profile,2,-1.0181221,-1.5341954,9.627253,17.126146,0.6208001375198364,0.0,0.0,0.176539295451606,0.0,0.3513843401183902
5-2,正月(with_John_Ruskin).txt,John_Ruskin,Technique & Style Focused,5,-3.0475879,-4.487023,12.835583,16.102388,0.2470893114805221,0.0,0.0,0.41530352585455943,0.40210288763046265,0.25353405479202296
5-3,正月(with_John_Ruskin).txt,John_Ruskin,Technique & Style Focused,4,-1.9604106,1.5834486,13.487443,13.920937,0.3054083883762359,0.0,0.0,0.30668546196584606,0.0,0.2575633219308792
