file_id,stance_label_en,stance_score,score_Comprehensive_Analyst,score_Historically_Focused,score_Technique_&_Style_Focused,score_Theory_&_Comparison_Focused,score_General_Descriptive_Profile,top_feature_1_label,top_feature_1_score,top_feature_2_label,top_feature_2_score,top_quality_1_label,top_quality_1_score,top_quality_2_label,top_quality_2_score
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,Historical Research,0.1630236804485321,0.0,0.0,0.0,0.0,0.03954395265312227,Layout and Structure,0.8858596086502075,Historical Context,0.8212442398071289,Classical Citations,0.07983250170946121,Strong Argumentation,0.05129842832684517
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.4_1705年的洪水.txt,Socio-cultural Interpretation,0.2633768320083618,0.0,0.0,0.0,0.0,0.06669225412256578,Historical Context,0.40117430686950684,Cross-cultural Influence,0.3842862844467163,Subjective/Biased View,0.20984192192554474,Logical Gaps,0.09156326949596405
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.1_追溯石涛早年至1692年的人生历程.txt,Socio-cultural Interpretation,0.1681073755025863,0.0,0.0,0.0,0.0,0.010651397354462539,Cross-cultural Influence,0.024693801999092102,Use of Color,0.004444489721208811,Subjective/Biased View,0.00680556520819664,Strong Argumentation,0.0024202242493629456
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.2_从清湘到宣城.txt,Socio-cultural Interpretation,0.2140120416879654,0.0,0.0,0.0,0.0,0.05727563178126904,Cross-cultural Influence,0.620947539806366,Emotional Expression,0.43281784653663635,Subjective/Biased View,0.20529243350028992,Classical Citations,0.12326213717460632
乔迅（Jonathan Hay）_清初中国的绘画与现代性\6.5_弟子身兼赞助人.txt,Socio-cultural Interpretation,0.170792281627655,0.0,0.0,0.0,0.0,0.012230753898620593,Cross-cultural Influence,0.020288897678256035,Artist Biography,0.009960056282579899,Subjective/Biased View,0.0016427549999207258,Classical Citations,0.0014722273917868733
乔迅（Jonathan Hay）_清初中国的绘画与现代性\7.3_装饰画.txt,Socio-cultural Interpretation,0.4849834442138672,0.0,0.0,0.0,0.0,0.28296412690853906,Cross-cultural Influence,0.8314465284347534,Use of Color,0.7106258273124695,Subjective/Biased View,0.6620299220085144,Classical Citations,0.10546596348285675
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.1_清初画坛.txt,Socio-cultural Interpretation,0.3441912233829498,0.0,0.0,0.0,0.0,0.11423013140173517,Cross-cultural Influence,0.8127650618553162,Artist Biography,0.20218677818775177,Logical Gaps,0.07713112980127335,Subjective/Biased View,0.05244944617152214
乔迅（Jonathan Hay）_清初中国的绘画与现代性\8.4_1703年为刘氏作山水大册.txt,Socio-cultural Interpretation,0.336950272321701,0.0,0.0,0.08704004709554068,0.0,0.25211469812149345,Cross-cultural Influence,0.8684674501419067,Subject Matter,0.8099005818367004,Subjective/Biased View,0.7019323110580444,Strong Argumentation,0.5057490468025208
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.1_明代的社会风格.txt,Aesthetic Appreciation,0.1405146718025207,0.0,0.04172945022583008,0.22610311410298534,0.0,0.11936117742549289,Cross-cultural Influence,0.7122580409049988,Symbolism,0.6289135217666626,Logical Gaps,0.5847160816192627,Objective Viewpoint,0.4794815480709076
列文森（Joseph Levenson）_从绘画所见明代与清初社会中的业余爱好理想\2.2_明代的绘画风格.txt,Socio-cultural Interpretation,0.302278071641922,0.0,0.23123398423194885,0.2725998574027828,0.0,0.2749104244425335,Cross-cultural Influence,0.9711744785308838,Style/School,0.8640458583831787,Subjective/Biased View,0.8775851130485535,Superficial Treatment,0.6108483672142029
