file_id,persona_id,source_type,umap_x,umap_y
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.1_石涛画像.txt,human_expert,human,-1.2393947,8.404237
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.2_1700年左右的扬州.txt,human_expert,human,-2.8966782,16.050299
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.3_江南的绘画与现代性.txt,human_expert,human,-1.2819446,8.3529415
乔迅（Jonathan Hay）_清初中国的绘画与现代性\1.4_现代性地理志.txt,human_expert,human,-0.57752377,11.682298
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.1_画家的欲望.txt,human_expert,human,-1.0476401,13.440941
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.2_属于自己的时刻.txt,human_expert,human,-0.695973,9.923078
乔迅（Jonathan Hay）_清初中国的绘画与现代性\10.3_大限.txt,human_expert,human,-0.95125663,8.986359
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.1_山水中的人物.txt,human_expert,human,-0.4547851,9.583293
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.2_自传式的指涉.txt,human_expert,human,0.40502137,10.643499
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.3_休闲及其寂静.txt,human_expert,human,-0.5572122,9.891488
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.4_朝代转换之间的野逸.txt,human_expert,human,-0.3344919,9.921306
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.5_模棱两可的士人.txt,human_expert,human,-1.309175,8.604182
乔迅（Jonathan Hay）_清初中国的绘画与现代性\2.6_文人生活的场景营造.txt,human_expert,human,-0.097596824,11.038109
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.1_感时论世的对话空间.txt,human_expert,human,-0.27819648,11.569883
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.2_费氏先莹.txt,human_expert,human,-0.030238649,11.341595
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.3_黄又的游旅.txt,human_expert,human,-0.17385705,9.652179
乔迅（Jonathan Hay）_清初中国的绘画与现代性\3.4_1705年的洪水.txt,human_expert,human,-3.2562525,15.744059
乔迅（Jonathan Hay）_清初中国的绘画与现代性\4.1_追溯石涛早年至1692年的人生历程.txt,human_expert,human,-3.5745971,16.2975
