file_id,text_preview,stance_label_en,stance_label_zh,stance_score,features,quality
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.1_宋以前绘画的考古发现.txt,"宋以前绘画的考古发现

中国大陆自1949年以来在考古上的迅速发展已经不再仅仅是为研究工作提供辅助性资料了。它已经提供了如此之多的新材料，而且经常是在以前鲜为人知的一些领域。许多旧的假说不断面临挑战，而提出各种基本问题的新的意愿也就不断得到强有力的推动。在许多时候，出土的作品使得先前文献缺微的传统见解和说法重新得到证实，但更为常见的是它们导致了新的结论和观点。

由于首次发现晚商壁画的残片，其所使...",Socio-cultural Interpretation,社会文化解读型,0.3945949375629425,"{'Cross-cultural Influence': {'score': 0.9847574234008789, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.939752459526062, 'zh': '布局与结构'}, 'Historical Context': {'score': 0.9098621010780334, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.8701854348182678, 'zh': '主题内容'}, 'Symbolism': {'score': 0.8281306624412537, 'zh': '象征意义'}, 'Artistic Conception': {'score': 0.7237038612365723, 'zh': '意境表达'}, 'Style/School': {'score': 0.6680140495300293, 'zh': '风格流派'}, 'Genre': {'score': 0.6527404189109802, 'zh': '题材选择'}, 'Spatial Representation': {'score': 0.6023236513137817, 'zh': '空间营造'}, 'Use of Color': {'score': 0.5255251526832581, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.4696236550807953, 'zh': '皴法特点'}, 'Emotional Expression': {'score': 0.4617753326892853, 'zh': '情感传递'}, 'Technique Inheritance & Innovation': {'score': 0.46166497468948364, 'zh': '技法传承与创新'}, 'Line Quality': {'score': 0.34259119629859924, 'zh': '线条质量'}, 'Brushwork Technique': {'score': 0.16161896288394928, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.15653866529464722, 'zh': '墨法变化'}, 'Artist Biography': {'score': 0.023280778899788857, 'zh': '画家生平'}}","{'Subjective/Biased View': {'score': 0.6133947968482971, 'zh': '观点主观片面'}, 'Lacks Examples': {'score': 0.5037209391593933, 'zh': '缺乏具体例证'}, 'Profound Insight': {'score': 0.48799434304237366, 'zh': '见解深刻独到'}, 'Superficial Treatment': {'score': 0.45789533853530884, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.41875097155570984, 'zh': '引用经典佐证'}, 'Strong Argumentation': {'score': 0.41588112711906433, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.4024471640586853, 'zh': '逻辑存在跳跃'}, 'Detailed Analysis': {'score': 0.14841929078102112, 'zh': '细节分析具体'}, 'Objective Viewpoint': {'score': 0.13361695408821106, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.06461052596569061, 'zh': '内容较为宽泛'}, 'Clear Logic': {'score': 0.03846723586320877, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.2_宋和宋以后绘画的鉴定.txt,"宋和宋以后绘画的鉴定

绝大多数宋代和许多宋以后的研究，中心议题一直是绘画作品的鉴定。关于中国流传的临本，肯定还要重新评价以往归属的作者权和一大批中国画的年代，特别是那些题有较早和较重要画家之名的作品。如方闻所写的：“在中国古代，真心的临摹（即没有任何欺骗之意的临摹）.....不仅仅是体面的，而且也是艺术的-一种极其必要的形式。它是复制书画珍品的唯一途径，并靠复制来使之流传，使之永存。”（Fong...",Historical Research,历史考证型,0.21763303875923157,"{'Cross-cultural Influence': {'score': 0.3673751950263977, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.29793789982795715, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.2804012596607208, 'zh': '主题内容'}, 'Genre': {'score': 0.18975290656089783, 'zh': '题材选择'}, 'Use of Color': {'score': 0.17790670692920685, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.17087562382221222, 'zh': '皴法特点'}, 'Artistic Conception': {'score': 0.16911576688289642, 'zh': '意境表达'}, 'Symbolism': {'score': 0.159173384308815, 'zh': '象征意义'}, 'Style/School': {'score': 0.15336640179157257, 'zh': '风格流派'}, 'Line Quality': {'score': 0.15002647042274475, 'zh': '线条质量'}, 'Technique Inheritance & Innovation': {'score': 0.14156821370124817, 'zh': '技法传承与创新'}, 'Ink Application': {'score': 0.13237439095973969, 'zh': '墨法变化'}, 'Emotional Expression': {'score': 0.12935273349285126, 'zh': '情感传递'}, 'Layout and Structure': {'score': 0.11997061967849731, 'zh': '布局与结构'}, 'Brushwork Technique': {'score': 0.10127173364162445, 'zh': '笔法技巧'}, 'Artist Biography': {'score': 0.0998338833451271, 'zh': '画家生平'}, 'Spatial Representation': {'score': 0.04068192094564438, 'zh': '空间营造'}}","{'Logical Gaps': {'score': 0.4064382314682007, 'zh': '逻辑存在跳跃'}, 'Classical Citations': {'score': 0.1646944284439087, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.15732444822788239, 'zh': '论述流于表面'}, 'Subjective/Biased View': {'score': 0.11999481171369553, 'zh': '观点主观片面'}, 'Lacks Examples': {'score': 0.09102853387594223, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.08375126868486404, 'zh': '细节分析具体'}, 'Strong Argumentation': {'score': 0.051455359905958176, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.04829155281186104, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.04419033229351044, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.03330486640334129, 'zh': '内容较为宽泛'}, 'Clear Logic': {'score': 0.004398394841700792, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.3_笔法鉴赏.txt,西方的结构分析法并没有排斥应用基于笔法分析的鉴赏方法。相反，方闻的两个学生，傅申和王妙莲在《鉴赏研究》一书中，将其研究书法的开拓性体系延伸到绘画上，调和了中国与西方的鉴赏方法。尽管人们可能会问，是否他们的系统化方法充分考虑了一个已知画家的笔法中可能有的风格和表现的范围，从其早年到晚年的变化。他们写道：“我们不必寻求那些机械重复的相似性，而应去发现本能的肌肉反应的种种习惯，它们在任何一个笔触中构成了...,Historical Research,历史考证型,0.1702205389738083,"{'Cross-cultural Influence': {'score': 0.7070908546447754, 'zh': '跨文化影响'}, 'Layout and Structure': {'score': 0.47666630148887634, 'zh': '布局与结构'}, 'Style/School': {'score': 0.262499064207077, 'zh': '风格流派'}, 'Symbolism': {'score': 0.2245573103427887, 'zh': '象征意义'}, 'Genre': {'score': 0.21924874186515808, 'zh': '题材选择'}, 'Historical Context': {'score': 0.21582138538360596, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.2152082622051239, 'zh': '主题内容'}, 'Artist Biography': {'score': 0.18539458513259888, 'zh': '画家生平'}, 'Use of Color': {'score': 0.17098988592624664, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.14995111525058746, 'zh': '皴法特点'}, 'Technique Inheritance & Innovation': {'score': 0.13852941989898682, 'zh': '技法传承与创新'}, 'Artistic Conception': {'score': 0.12839826941490173, 'zh': '意境表达'}, 'Ink Application': {'score': 0.12120402604341507, 'zh': '墨法变化'}, 'Emotional Expression': {'score': 0.10242744535207748, 'zh': '情感传递'}, 'Brushwork Technique': {'score': 0.09254612773656845, 'zh': '笔法技巧'}, 'Line Quality': {'score': 0.08800410479307175, 'zh': '线条质量'}, 'Spatial Representation': {'score': 0.02654341794550419, 'zh': '空间营造'}}","{'Detailed Analysis': {'score': 0.42584627866744995, 'zh': '细节分析具体'}, 'Logical Gaps': {'score': 0.40559133887290955, 'zh': '逻辑存在跳跃'}, 'Subjective/Biased View': {'score': 0.38492149114608765, 'zh': '观点主观片面'}, 'Overly General Content': {'score': 0.34147679805755615, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.3257812261581421, 'zh': '缺乏具体例证'}, 'Superficial Treatment': {'score': 0.2615298628807068, 'zh': '论述流于表面'}, 'Strong Argumentation': {'score': 0.20810340344905853, 'zh': '论证充分有力'}, 'Classical Citations': {'score': 0.13570420444011688, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.11985574662685394, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.02414238266646862, 'zh': '观点客观公允'}, 'Clear Logic': {'score': 0.015154343098402023, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\1.4_艺术的个人风格、发展模式、变化幅度和画家性格.txt,很少有研究像罗樾和方闻那样如此广义地改变我们研究中国画风格的思路。绝大多数的风格研究都集中在较为狭窄的个别艺术家的风格发展和他在某个特殊时期的作用上。而且，即使对那些个别画家的研究结果常常是孤立的传记而不是完整的艺术史，但这些细微的研究已扩展了我们的知识总量，为今后任何内容广泛，观点充实的艺术史准备了基础。在那些已经过充分研究的个别画家中，有南唐的董源（Barnhart1969)；宋代的李唐（Ed...,Socio-cultural Interpretation,社会文化解读型,0.2169000655412674,"{'Layout and Structure': {'score': 0.9406711459159851, 'zh': '布局与结构'}, 'Cross-cultural Influence': {'score': 0.5655636191368103, 'zh': '跨文化影响'}, 'Artistic Conception': {'score': 0.2883721888065338, 'zh': '意境表达'}, 'Genre': {'score': 0.27500200271606445, 'zh': '题材选择'}, 'Subject Matter': {'score': 0.2721855342388153, 'zh': '主题内容'}, 'Symbolism': {'score': 0.24826665222644806, 'zh': '象征意义'}, 'Historical Context': {'score': 0.24127496778964996, 'zh': '历史背景'}, 'Style/School': {'score': 0.17090679705142975, 'zh': '风格流派'}, 'Use of Color': {'score': 0.16821424663066864, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.16735318303108215, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.15458811819553375, 'zh': '线条质量'}, 'Emotional Expression': {'score': 0.12557420134544373, 'zh': '情感传递'}, 'Artist Biography': {'score': 0.12317534536123276, 'zh': '画家生平'}, 'Technique Inheritance & Innovation': {'score': 0.11402719467878342, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.09902496635913849, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.03688400611281395, 'zh': '墨法变化'}, 'Spatial Representation': {'score': 0.02527008205652237, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.667264997959137, 'zh': '观点主观片面'}, 'Objective Viewpoint': {'score': 0.1742428094148636, 'zh': '观点客观公允'}, 'Classical Citations': {'score': 0.16448421776294708, 'zh': '引用经典佐证'}, 'Superficial Treatment': {'score': 0.11242657154798508, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.1049356684088707, 'zh': '逻辑存在跳跃'}, 'Strong Argumentation': {'score': 0.10254078358411789, 'zh': '论证充分有力'}, 'Profound Insight': {'score': 0.09045733511447906, 'zh': '见解深刻独到'}, 'Clear Logic': {'score': 0.043973710387945175, 'zh': '逻辑清晰严密'}, 'Detailed Analysis': {'score': 0.040459468960762024, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.04026922583580017, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.005249697715044022, 'zh': '内容较为宽泛'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\2.1_关于风格与相关情景的流行理论.txt,"关于风格与相关情境的流行理论

从讨论风格转到绘画的另一些方面，即它的理论、内容和背景等方面，就马上会引出关于艺术的定义和艺术史的通例这些敏感的命题。这些基本命题的特性至少应该在进一步展开之前先提一下。

按照罗樾的观点，艺术史家的中心任务是根据风格史来确定艺术史，以不同于其他的历史。罗樾反对那种认为艺术来源于它周围的世界，并由外在的趣味、价值和事件所创造的观点，他主张艺术只有靠独特艺术家的创造性...",Socio-cultural Interpretation,社会文化解读型,0.34567350149154663,"{'Historical Context': {'score': 0.9917088150978088, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.9869961142539978, 'zh': '主题内容'}, 'Cross-cultural Influence': {'score': 0.9822182059288025, 'zh': '跨文化影响'}, 'Genre': {'score': 0.9755517244338989, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.923963189125061, 'zh': '意境表达'}, 'Symbolism': {'score': 0.9076355695724487, 'zh': '象征意义'}, 'Style/School': {'score': 0.8634693622589111, 'zh': '风格流派'}, 'Emotional Expression': {'score': 0.8491171002388, 'zh': '情感传递'}, 'Technique Inheritance & Innovation': {'score': 0.7055887579917908, 'zh': '技法传承与创新'}, 'Use of Color': {'score': 0.7039566040039062, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.6573510766029358, 'zh': '皴法特点'}, 'Layout and Structure': {'score': 0.6519670486450195, 'zh': '布局与结构'}, 'Ink Application': {'score': 0.3704614043235779, 'zh': '墨法变化'}, 'Line Quality': {'score': 0.3512475788593292, 'zh': '线条质量'}, 'Artist Biography': {'score': 0.3215741515159607, 'zh': '画家生平'}, 'Brushwork Technique': {'score': 0.16814595460891724, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.05540850758552551, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.9714820384979248, 'zh': '观点主观片面'}, 'Profound Insight': {'score': 0.9229483008384705, 'zh': '见解深刻独到'}, 'Classical Citations': {'score': 0.8648216128349304, 'zh': '引用经典佐证'}, 'Detailed Analysis': {'score': 0.816956639289856, 'zh': '细节分析具体'}, 'Logical Gaps': {'score': 0.8119725584983826, 'zh': '逻辑存在跳跃'}, 'Objective Viewpoint': {'score': 0.7677669525146484, 'zh': '观点客观公允'}, 'Strong Argumentation': {'score': 0.5843620896339417, 'zh': '论证充分有力'}, 'Superficial Treatment': {'score': 0.49771779775619507, 'zh': '论述流于表面'}, 'Lacks Examples': {'score': 0.46277567744255066, 'zh': '缺乏具体例证'}, 'Clear Logic': {'score': 0.23755043745040894, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.08701003342866898, 'zh': '内容较为宽泛'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\2.2_宋以前的画论及其哲学背景.txt,"宋以前的画论及其哲学背景

研究传统画论也提出了这个问题：是否要把孤立的艺术研究转向以多学科为背景的研究。近年来的许多努力，是在更明确的哲学或宗教背景中解释画论。在1979年于缅因州约克举行的关于中国艺术理论的会议上（参见Bush&C·Murck1983）有四篇论文是关于早期中国山水艺术理论的。其共同之处是认为宋以前的思想相当强烈地具有巫术信念的倾向，有人认为其核心是泛神论。这些信念“并不像有的人...",Socio-cultural Interpretation,社会文化解读型,0.3655030429363251,"{'Cross-cultural Influence': {'score': 0.9806898832321167, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.9741782546043396, 'zh': '象征意义'}, 'Emotional Expression': {'score': 0.962924599647522, 'zh': '情感传递'}, 'Layout and Structure': {'score': 0.9524809122085571, 'zh': '布局与结构'}, 'Artistic Conception': {'score': 0.8143319487571716, 'zh': '意境表达'}, 'Subject Matter': {'score': 0.8099058866500854, 'zh': '主题内容'}, 'Historical Context': {'score': 0.7280678749084473, 'zh': '历史背景'}, 'Genre': {'score': 0.6893018484115601, 'zh': '题材选择'}, 'Style/School': {'score': 0.6475929617881775, 'zh': '风格流派'}, 'Use of Color': {'score': 0.5848914980888367, 'zh': '色彩运用'}, 'Texture Strokes (Chunfa)': {'score': 0.5107483863830566, 'zh': '皴法特点'}, 'Technique Inheritance & Innovation': {'score': 0.30159473419189453, 'zh': '技法传承与创新'}, 'Spatial Representation': {'score': 0.24733394384384155, 'zh': '空间营造'}, 'Brushwork Technique': {'score': 0.12832507491111755, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.09224782884120941, 'zh': '墨法变化'}, 'Line Quality': {'score': 0.07641716301441193, 'zh': '线条质量'}, 'Artist Biography': {'score': 0.012981654144823551, 'zh': '画家生平'}}","{'Superficial Treatment': {'score': 0.6835004091262817, 'zh': '论述流于表面'}, 'Classical Citations': {'score': 0.6444292664527893, 'zh': '引用经典佐证'}, 'Subjective/Biased View': {'score': 0.5525435209274292, 'zh': '观点主观片面'}, 'Profound Insight': {'score': 0.5399911999702454, 'zh': '见解深刻独到'}, 'Objective Viewpoint': {'score': 0.4286513328552246, 'zh': '观点客观公允'}, 'Strong Argumentation': {'score': 0.3717840015888214, 'zh': '论证充分有力'}, 'Lacks Examples': {'score': 0.11507673561573029, 'zh': '缺乏具体例证'}, 'Overly General Content': {'score': 0.09292663633823395, 'zh': '内容较为宽泛'}, 'Logical Gaps': {'score': 0.07409641891717911, 'zh': '逻辑存在跳跃'}, 'Detailed Analysis': {'score': 0.040258437395095825, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.01614334061741829, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\2.3_后期画论及其哲学背景.txt,现在的学者日益认识到佛教、道教引发了早期中国画论中的奇谈妙论，并逐渐对此按照词句本义加以研究，而不再将其当作诗意的比喻。曾一度主要依照佛道哲学来看待的许多后期的中国画论，近来已开始用新儒学的理性主义来探讨。例如宗像清彦译注的10世纪全景山水画先驱荆浩的《笔法记》就是这样（Munakata 1975）。此前罗樾曾写道荆浩，特别提到他对艺术史模式的选择，说他“只考虑纯粹的艺术问题·..··而与任何非艺...,Socio-cultural Interpretation,社会文化解读型,0.22296060621738434,"{'Cross-cultural Influence': {'score': 0.9734598994255066, 'zh': '跨文化影响'}, 'Subject Matter': {'score': 0.9461020827293396, 'zh': '主题内容'}, 'Emotional Expression': {'score': 0.8961439728736877, 'zh': '情感传递'}, 'Historical Context': {'score': 0.8688068389892578, 'zh': '历史背景'}, 'Genre': {'score': 0.8191970586776733, 'zh': '题材选择'}, 'Artistic Conception': {'score': 0.7804738283157349, 'zh': '意境表达'}, 'Style/School': {'score': 0.7782156467437744, 'zh': '风格流派'}, 'Layout and Structure': {'score': 0.7475193738937378, 'zh': '布局与结构'}, 'Symbolism': {'score': 0.6946802139282227, 'zh': '象征意义'}, 'Texture Strokes (Chunfa)': {'score': 0.5073986649513245, 'zh': '皴法特点'}, 'Line Quality': {'score': 0.501950740814209, 'zh': '线条质量'}, 'Use of Color': {'score': 0.4624709486961365, 'zh': '色彩运用'}, 'Technique Inheritance & Innovation': {'score': 0.3361605107784271, 'zh': '技法传承与创新'}, 'Artist Biography': {'score': 0.26747632026672363, 'zh': '画家生平'}, 'Ink Application': {'score': 0.2576923966407776, 'zh': '墨法变化'}, 'Brushwork Technique': {'score': 0.23463210463523865, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.12569104135036469, 'zh': '空间营造'}}","{'Subjective/Biased View': {'score': 0.8759860396385193, 'zh': '观点主观片面'}, 'Objective Viewpoint': {'score': 0.8263975381851196, 'zh': '观点客观公允'}, 'Classical Citations': {'score': 0.7623589634895325, 'zh': '引用经典佐证'}, 'Profound Insight': {'score': 0.6378133296966553, 'zh': '见解深刻独到'}, 'Strong Argumentation': {'score': 0.6264036893844604, 'zh': '论证充分有力'}, 'Superficial Treatment': {'score': 0.6177650094032288, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.4522315561771393, 'zh': '逻辑存在跳跃'}, 'Detailed Analysis': {'score': 0.38301530480384827, 'zh': '细节分析具体'}, 'Lacks Examples': {'score': 0.3814535439014435, 'zh': '缺乏具体例证'}, 'Clear Logic': {'score': 0.2349989414215088, 'zh': '逻辑清晰严密'}, 'Overly General Content': {'score': 0.09896710515022278, 'zh': '内容较为宽泛'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\2.4_诗画关系.txt,"诗画关系

中国人关于诗书画关系的理论至少可以上溯到唐代。早期关于诗画关系的看法是依据其“可变换性”提出的，这几乎在30年前就由傅汉思（Frankel1957)论述过。而苏立文的敏感之作《诗书画三绝》（Sullivan1974）则探索了这三种艺术形式相互间有时很微妙的审美作用。但和中国人认为可变换的传统主张很不相同的观点，是饶宗颐在其研究词画关系时的结论：“说到底，画终归是画，诗依旧是诗。两者的形...",Historical Research,历史考证型,0.38943445682525635,"{'Cross-cultural Influence': {'score': 0.8285092115402222, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.5615904927253723, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.3905722200870514, 'zh': '主题内容'}, 'Symbolism': {'score': 0.3824988603591919, 'zh': '象征意义'}, 'Emotional Expression': {'score': 0.32736319303512573, 'zh': '情感传递'}, 'Genre': {'score': 0.3161858320236206, 'zh': '题材选择'}, 'Use of Color': {'score': 0.2598344087600708, 'zh': '色彩运用'}, 'Style/School': {'score': 0.24058334529399872, 'zh': '风格流派'}, 'Artistic Conception': {'score': 0.23788045346736908, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.20380115509033203, 'zh': '画家生平'}, 'Line Quality': {'score': 0.18186330795288086, 'zh': '线条质量'}, 'Layout and Structure': {'score': 0.18181811273097992, 'zh': '布局与结构'}, 'Technique Inheritance & Innovation': {'score': 0.15478515625, 'zh': '技法传承与创新'}, 'Texture Strokes (Chunfa)': {'score': 0.14385583996772766, 'zh': '皴法特点'}, 'Spatial Representation': {'score': 0.1434984803199768, 'zh': '空间营造'}, 'Brushwork Technique': {'score': 0.10036086291074753, 'zh': '笔法技巧'}, 'Ink Application': {'score': 0.09727413952350616, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.39965948462486267, 'zh': '观点主观片面'}, 'Superficial Treatment': {'score': 0.2696329653263092, 'zh': '论述流于表面'}, 'Objective Viewpoint': {'score': 0.2548861503601074, 'zh': '观点客观公允'}, 'Strong Argumentation': {'score': 0.24334941804409027, 'zh': '论证充分有力'}, 'Classical Citations': {'score': 0.2396443486213684, 'zh': '引用经典佐证'}, 'Logical Gaps': {'score': 0.16690240800380707, 'zh': '逻辑存在跳跃'}, 'Profound Insight': {'score': 0.15871085226535797, 'zh': '见解深刻独到'}, 'Lacks Examples': {'score': 0.15232449769973755, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.1428261697292328, 'zh': '细节分析具体'}, 'Overly General Content': {'score': 0.1337270885705948, 'zh': '内容较为宽泛'}, 'Clear Logic': {'score': 0.097844697535038, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\3.1_道释图像学.txt,"道释图像学

鉴于佛画的偶像特征，人们长期以来将主要的研究兴趣集中在它的内容上。有的批评家瞧不起佛画，视之为末流艺术品。和日本及中国相比，西方近来很少研究传统的佛画。在少数几项重要研究中，有对张胜温百科式长卷（约作于1175年）的研究 (Chapin1970-71；Matsumota1976）和对大英博物馆藏敦煌佛蟠和经卷画的研究（Whitefield1982一83）。另一方面，禅画在中国还没有编...",Socio-cultural Interpretation,社会文化解读型,0.20952178537845612,"{'Cross-cultural Influence': {'score': 0.9372427463531494, 'zh': '跨文化影响'}, 'Symbolism': {'score': 0.49219590425491333, 'zh': '象征意义'}, 'Historical Context': {'score': 0.38603976368904114, 'zh': '历史背景'}, 'Subject Matter': {'score': 0.3676948845386505, 'zh': '主题内容'}, 'Emotional Expression': {'score': 0.33560943603515625, 'zh': '情感传递'}, 'Texture Strokes (Chunfa)': {'score': 0.2529742121696472, 'zh': '皴法特点'}, 'Genre': {'score': 0.24846696853637695, 'zh': '题材选择'}, 'Layout and Structure': {'score': 0.2466673105955124, 'zh': '布局与结构'}, 'Style/School': {'score': 0.18753457069396973, 'zh': '风格流派'}, 'Use of Color': {'score': 0.17206357419490814, 'zh': '色彩运用'}, 'Brushwork Technique': {'score': 0.14882241189479828, 'zh': '笔法技巧'}, 'Technique Inheritance & Innovation': {'score': 0.10946512222290039, 'zh': '技法传承与创新'}, 'Line Quality': {'score': 0.0949539989233017, 'zh': '线条质量'}, 'Artist Biography': {'score': 0.09301776438951492, 'zh': '画家生平'}, 'Artistic Conception': {'score': 0.09154079109430313, 'zh': '意境表达'}, 'Spatial Representation': {'score': 0.042621221393346786, 'zh': '空间营造'}, 'Ink Application': {'score': 0.03355683386325836, 'zh': '墨法变化'}}","{'Subjective/Biased View': {'score': 0.8573031425476074, 'zh': '观点主观片面'}, 'Strong Argumentation': {'score': 0.3957318067550659, 'zh': '论证充分有力'}, 'Superficial Treatment': {'score': 0.35350826382637024, 'zh': '论述流于表面'}, 'Logical Gaps': {'score': 0.28565171360969543, 'zh': '逻辑存在跳跃'}, 'Classical Citations': {'score': 0.2518336772918701, 'zh': '引用经典佐证'}, 'Overly General Content': {'score': 0.14807970821857452, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.14304232597351074, 'zh': '缺乏具体例证'}, 'Objective Viewpoint': {'score': 0.06789844483137131, 'zh': '观点客观公允'}, 'Profound Insight': {'score': 0.06631246954202652, 'zh': '见解深刻独到'}, 'Detailed Analysis': {'score': 0.008420881815254688, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.0031340669374912977, 'zh': '逻辑清晰严密'}}"
谢柏轲（Jerome Silbergeld）_西方中国绘画史研究专论\3.2_作为政治说教的宫廷画.txt,"作为政治说教的宫廷画

在以往20年中，对宋和宋以后绘画研究的注意力集中在以儒学为基础的政治性图像学上，超过了对道释题材的兴趣【宋以前儒学宫廷画的存世之作今已几乎没有了，但这一研究的文献，资料雷德侯（Ledderose1973)曾做过考察）。这方面研究得最深人细致的是作于南宋第一个皇帝高宗时期画院的-一组作品，它们支持宋朝在1127年被金人攻占中原后进行“中兴”的政治运动。

这组作品包括了传为李...",Historical Research,历史考证型,0.4240059554576874,"{'Cross-cultural Influence': {'score': 0.8255711793899536, 'zh': '跨文化影响'}, 'Historical Context': {'score': 0.7357860207557678, 'zh': '历史背景'}, 'Symbolism': {'score': 0.7305981516838074, 'zh': '象征意义'}, 'Genre': {'score': 0.5234253406524658, 'zh': '题材选择'}, 'Emotional Expression': {'score': 0.49282392859458923, 'zh': '情感传递'}, 'Subject Matter': {'score': 0.4627804756164551, 'zh': '主题内容'}, 'Artistic Conception': {'score': 0.3223017156124115, 'zh': '意境表达'}, 'Artist Biography': {'score': 0.30672451853752136, 'zh': '画家生平'}, 'Use of Color': {'score': 0.27132320404052734, 'zh': '色彩运用'}, 'Style/School': {'score': 0.16318278014659882, 'zh': '风格流派'}, 'Texture Strokes (Chunfa)': {'score': 0.11667254567146301, 'zh': '皴法特点'}, 'Layout and Structure': {'score': 0.11201408505439758, 'zh': '布局与结构'}, 'Line Quality': {'score': 0.08176515251398087, 'zh': '线条质量'}, 'Technique Inheritance & Innovation': {'score': 0.0722794234752655, 'zh': '技法传承与创新'}, 'Brushwork Technique': {'score': 0.03235798701643944, 'zh': '笔法技巧'}, 'Spatial Representation': {'score': 0.026175320148468018, 'zh': '空间营造'}, 'Ink Application': {'score': 0.015122804790735245, 'zh': '墨法变化'}}","{'Classical Citations': {'score': 0.48038098216056824, 'zh': '引用经典佐证'}, 'Subjective/Biased View': {'score': 0.44150781631469727, 'zh': '观点主观片面'}, 'Profound Insight': {'score': 0.1442846655845642, 'zh': '见解深刻独到'}, 'Superficial Treatment': {'score': 0.10804064571857452, 'zh': '论述流于表面'}, 'Strong Argumentation': {'score': 0.07576510310173035, 'zh': '论证充分有力'}, 'Logical Gaps': {'score': 0.061608463525772095, 'zh': '逻辑存在跳跃'}, 'Objective Viewpoint': {'score': 0.04065505042672157, 'zh': '观点客观公允'}, 'Overly General Content': {'score': 0.040600549429655075, 'zh': '内容较为宽泛'}, 'Lacks Examples': {'score': 0.03579617291688919, 'zh': '缺乏具体例证'}, 'Detailed Analysis': {'score': 0.02700144611299038, 'zh': '细节分析具体'}, 'Clear Logic': {'score': 0.002752874279394746, 'zh': '逻辑清晰严密'}}"
